Title,Note,URL,Tags,Comment
,,,,
965bkk,lifestyleasiath ig,https://www.google.com/maps/place/965bkk/data=!4m2!3m1!1s0x30e299cc7a7827cf:0xb29d61933a64398c,,
La Cabra Bakery,sam and victor youtube,https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m2!3m1!1s0x30e29fa1ea5c4c37:0x63a9831fb0dc165a,,
CUM Coffee - The Office Thonglor,youtube sam and victor,https://www.google.com/maps/place/CUM+Coffee+-+The+Office+Thonglor/data=!4m2!3m1!1s0x30e29f96ed16208d:0x68abe775ec1fadf0,,
A KEEN HOUSE,youtube sam & victor,https://www.google.com/maps/place/A+KEEN+HOUSE/data=!4m2!3m1!1s0x30e29f2e9eb75f4b:0xb3b02968aa532f01,,
RISE COFFEE - Thonglor,youtube sam and victor,https://www.google.com/maps/place/RISE+COFFEE+-+Thonglor/data=!4m2!3m1!1s0x30e29f18851d83bf:0x33620015ca9be77e,,
Holey Artisan Bakery,,https://www.google.com/maps/place/Holey+Artisan+Bakery/data=!4m2!3m1!1s0x30e29efc6388c04d:0xb82acfae8399e4f4,,
KHIRI Thai Tea Flagship Store,sam and victor youtube,https://www.google.com/maps/place/KHIRI+Thai+Tea+Flagship+Store/data=!4m2!3m1!1s0x30e2990386f743ff:0xa2a6d42e5fe8a6a,,
Wallflowers Cafe,yannik said this was his favorite cocktail bar. it's a cafe/bakery tho…,https://www.google.com/maps/place/Wallflowers+Cafe/data=!4m2!3m1!1s0x30e2991753e9d7db:0x7f9efe6c46bf5bc0,,
Ayatana Charoen Krung,sam and victor youtube,https://www.google.com/maps/place/Ayatana+Charoen+Krung/data=!4m2!3m1!1s0x30e2993cc75e2579:0x35e9c944a70f8cec,,
DONUT DISTURB BANGKOK,sam and victor youtube,https://www.google.com/maps/place/DONUT+DISTURB+BANGKOK/data=!4m2!3m1!1s0x30e29dc8288520f3:0x845a3b14e9c3d818,,
La Cabra Bangkok,sam and victor youtube,https://www.google.com/maps/place/La+Cabra+Bangkok/data=!4m2!3m1!1s0x30e299d14610bc9d:0xfb373e24ccba3928,,
