Title,Note,URL,Tags,Comment
,,,,
Loreley Bar,,https://www.google.com/maps/place/Loreley+Bar/data=!4m2!3m1!1s0x47a84f005b5b203b:0xbc0b83bc146209dc,,
Sux,,https://www.google.com/maps/place/Sux/data=!4m2!3m1!1s0x47a84fa5c0f40847:0xf29dc13a07272604,,
Schmetterling,,https://www.google.com/maps/place/Schmetterling/data=!4m2!3m1!1s0x47a84f5fd813058f:0x322229bea24cc350,,
Bussi Bar,,https://www.google.com/maps/place/Bussi+Bar/data=!4m2!3m1!1s0x47a84f1fbbe83ad7:0xca27ea825b80d0c6,,
ITA Bistro,saw it on ceee ceee. but BFS also did an interview with someone who said it's one of the best restaurants,https://www.google.com/maps/place/ITA+Bistro/data=!4m2!3m1!1s0x47a84d706e1ce74b:0x99ef87c6c9edf080,,
Bohnengold - Berlin,,https://www.google.com/maps/place/Bohnengold+-+Berlin/data=!4m2!3m1!1s0x47a84fdf3f484c81:0x39d5a37d52cf9e18,,
Multilayerladen,,https://www.google.com/maps/place/Multilayerladen/data=!4m2!3m1!1s0x47a84e3364d70edd:0x9716f12821c65c08,,
Konrad Tönz,,https://www.google.com/maps/place/Konrad+T%C3%B6nz/data=!4m2!3m1!1s0x47a84e4d7d04b8ff:0xf4ebfd3b86f3951b,,
"monu - coffee, wine & snacks",,"https://www.google.com/maps/place/monu+-+coffee,+wine+%26+snacks/data=!4m2!3m1!1s0x47a8510aac10823f:0xd5dd5a7cb295a36c",,
Wohnzimmerbar,,https://www.google.com/maps/place/Wohnzimmerbar/data=!4m2!3m1!1s0x47a84dff8531db91:0xda59364153e9aa3a,,
Atopia Kaffeehaus,,https://www.google.com/maps/place/Atopia+Kaffeehaus/data=!4m2!3m1!1s0x47a84dfde4c7c1e3:0x475054b077da8926,,
Bar Becketts Kopf,,https://www.google.com/maps/place/Bar+Becketts+Kopf/data=!4m2!3m1!1s0x47a85200eb02aa4b:0x11200437143b4ec3,,
KOKIO,,https://www.google.com/maps/place/KOKIO/data=!4m2!3m1!1s0x47a85190bbdd3397:0xfe7242b9044462ff,,
