Title,Note,URL,Tags,Comment
,,,,
FREA Bakery & Cafe,,https://www.google.com/maps/place/FREA+Bakery+%26+Cafe/data=!4m2!3m1!1s0x47a8519d38279af3:0xed6b8ef1dde78ba8,,
JOHO Eisparadies,i love froyo,https://www.google.com/maps/place/JOHO+Eisparadies/data=!4m2!3m1!1s0x47a85bc059cea9e5:0xea895904fb95b6fa,,
Bergmann Coffee Roastery,,https://www.google.com/maps/place/Bergmann+Coffee+Roastery/data=!4m2!3m1!1s0x47a84f004917f23f:0x32f2e6f4225584e,,
Konditorei Damaskus,Dilan Got me baklava from here. imo the best in berlin,https://www.google.com/maps/place/Konditorei+Damaskus/data=!4m2!3m1!1s0x47a84fa5ae562099:0x42d4888f77ae3967,,
"monu - coffee, wine & snacks",,"https://www.google.com/maps/place/monu+-+coffee,+wine+%26+snacks/data=!4m2!3m1!1s0x47a8510aac10823f:0xd5dd5a7cb295a36c",,
Coffee Circle Bergmann,,https://www.google.com/maps/place/Coffee+Circle+Bergmann/data=!4m2!3m1!1s0x47a851f6310a8673:0xa23c3c12c6b49b93,,
Coffee Circle Rosa-Luxemburg,,https://www.google.com/maps/place/Coffee+Circle+Rosa-Luxemburg/data=!4m2!3m1!1s0x47a84f363a99dc1d:0x4463b451a7f861d5,,
Round & Edgy,saw this place on a YouTube short,https://www.google.com/maps/place/Round+%26+Edgy/data=!4m2!3m1!1s0x47a85167a85b1755:0xf49b816ca1da73de,,
Matchasome,,https://www.google.com/maps/place/Matchasome/data=!4m2!3m1!1s0x47a84feaa4c9ae67:0x1078edd631547abd,,
Round & Edgy,RBB,https://www.google.com/maps/place/Round+%26+Edgy/data=!4m2!3m1!1s0x47a84f641ac7ec55:0xb04755169a84d131,,
Coffee Circle Maybachufer,,https://www.google.com/maps/place/Coffee+Circle+Maybachufer/data=!4m2!3m1!1s0x47a84f0074952e25:0xdb80da7e0ee6c85c,,
Vingot,,https://www.google.com/maps/place/Vingot/data=!4m2!3m1!1s0x47a84f66328833a7:0x837986bbcba369c4,,
Hokey Pokey Boutique,,https://www.google.com/maps/place/Hokey+Pokey+Boutique/data=!4m2!3m1!1s0x47a853cab8921405:0xe9711fdc67a1b27b,,
Bekarei,,https://www.google.com/maps/place/Bekarei/data=!4m2!3m1!1s0x47a84dfefa46f7cf:0x1ae469e706803bd8,,
No Fire No Glory,,https://www.google.com/maps/place/No+Fire+No+Glory/data=!4m2!3m1!1s0x47a84e0169285e6d:0x29eb73f02a43d1e6,,
Bonanza Coffee Heroes,,https://www.google.com/maps/place/Bonanza+Coffee+Heroes/data=!4m2!3m1!1s0x47a851f9034567c9:0x693e223689da353c,,
KASCHK by BRLO,,https://www.google.com/maps/place/KASCHK+by+BRLO/data=!4m2!3m1!1s0x47a851e270908dcd:0x29195df9db2b738d,,
THE BARN Schönhauser Allee Café,,https://www.google.com/maps/place/THE+BARN+Sch%C3%B6nhauser+Allee+Caf%C3%A9/data=!4m2!3m1!1s0x47a84e1d6200a795:0x6e773300e3c805c2,,
CANAL - Linienstraße,,https://www.google.com/maps/place/CANAL+-+Linienstra%C3%9Fe/data=!4m2!3m1!1s0x47a851c3eac84397:0x5c14498678da37ff,,
