Title,Note,URL,Tags,Comment
,,,,
Fitzroy,,https://www.google.com/maps/place/Fitzroy/data=!4m2!3m1!1s0x47a84f90d279cd67:0xea6bf488421220b2,,
Gisela Freier Kunstraum Kulturring e.V.,jerry said it’s good. ,https://www.google.com/maps/place/Gisela+Freier+Kunstraum+Kulturring+e.V./data=!4m2!3m1!1s0x47a84ee9e914a73b:0x97e1922f0259833c,,
BLOCK1,johnny runs events here,https://www.google.com/maps/place/BLOCK1/data=!4m2!3m1!1s0x47a84f59fd902275:0x62af8340b6dd173f,,
Haus Zenner,,https://www.google.com/maps/place/Haus+Zenner/data=!4m2!3m1!1s0x47a84fd3ff9f7143:0x55b52c86d5add827,,
Studio1111,,https://www.google.com/maps/place/Studio1111/data=!4m2!3m1!1s0x47a851fbf8efe541:0x47b333fe6832a06c,,
VOID Club,,https://www.google.com/maps/place/VOID+Club/data=!4m2!3m1!1s0x47a84ef1f488af1b:0xf2682765a6c5a50b,,
MAW Magdeburg,,https://www.google.com/maps/place/MAW+Magdeburg/data=!4m2!3m1!1s0x47a5f52cb36484ed:0xaf81837b8274b261,,
BOILER Sauna Berlin,,https://www.google.com/maps/place/BOILER+Sauna+Berlin/data=!4m2!3m1!1s0x47a850291e84ba1d:0xbe333f65c2f13d99,,
clubsauna.berlin,,https://www.google.com/maps/place/clubsauna.berlin/data=!4m2!3m1!1s0x47a8514757f10403:0x558555f016c03f21,,
Mensch Meier // club and culture house,,https://www.google.com/maps/place/Mensch+Meier+%2F%2F+club+and+culture+house/data=!4m2!3m1!1s0x47a84e76decc63c5:0x9b9878c41929a2fa,,
Anomalie Art Club - Berlin,,https://www.google.com/maps/place/Anomalie+Art+Club+-+Berlin/data=!4m2!3m1!1s0x47a84e767a758f6b:0xafce62f62dba6b35,,
Spartacus,,https://www.google.com/maps/place/Spartacus/data=!4m2!3m1!1s0x47a8f5c5aaf8ac9d:0x454e9c971fd57b6b,,
KitKatClub,,https://www.google.com/maps/place/KitKatClub/data=!4m2!3m1!1s0x47a84e25326bd085:0xdfc6268a626d40c7,,
COCO BOULE,,https://www.google.com/maps/place/COCO+BOULE/data=!4m2!3m1!1s0x47a84fa12c68d87b:0x8bd4a67aa6dc9fa4,,
KREUZWERK,,https://www.google.com/maps/place/KREUZWERK/data=!4m2!3m1!1s0x47a84f1cf8500355:0xeab8500b5c28b8a4,,
Lokschuppen Berlin (fka. Suicide Circus),,https://www.google.com/maps/place/Lokschuppen+Berlin+(fka.+Suicide+Circus)/data=!4m2!3m1!1s0x47a84e5a572ef3d5:0xd1c59b9ee21ce01f,,
Sonnenraum,,https://www.google.com/maps/place/Sonnenraum/data=!4m2!3m1!1s0x47a84f0050f3ea5b:0x3b2f051ba675af75,,
