Title,Note,URL,Tags,Comment
,,,,
FICKEN 3000,,https://www.google.com/maps/place/FICKEN+3000/data=!4m2!3m1!1s0x47a84fb7c3e83959:0xbf104cb79b12cc6c,,
ACUD Theater,,https://www.google.com/maps/place/ACUD+Theater/data=!4m2!3m1!1s0x47a8517189244c4d:0x4cb10e780e0cd5d3,,
Sisyphos Nightclub,,https://www.google.com/maps/place/Sisyphos+Nightclub/data=!4m2!3m1!1s0x47a84edee9d20aa7:0x3587c2ca47fc0903,,
Heideglühen,,https://www.google.com/maps/place/Heidegl%C3%BChen/data=!4m2!3m1!1s0x47a85181c4e515f9:0xf09247161115210b,,
RSO.BERLIN,,https://www.google.com/maps/place/RSO.BERLIN/data=!4m2!3m1!1s0x47a84f0c55015f7d:0x629bd0ee79cf4f08,,
NÅPOLEON KOMPLEX,just sent me this after she saw it while driving through friedrichshain. and then we went here for that performance event/party in fall 2024,https://www.google.com/maps/place/N%C3%85POLEON+KOMPLEX/data=!4m2!3m1!1s0x47a84fe85ae74365:0x2ddf535d98bf5f80,,
://about blank,,https://www.google.com/maps/place/:%2F%2Fabout+blank/data=!4m2!3m1!1s0x47a84ef9ee28277f:0x9ba3bce436e2b6ae,,
OXI & OXI Garten,,https://www.google.com/maps/place/OXI+%26+OXI+Garten/data=!4m2!3m1!1s0x47a84f3716885785:0xf4f42513df6ca548,,
Else OpenAir-Club & Biergarten,,https://www.google.com/maps/place/Else+OpenAir-Club+%26+Biergarten/data=!4m2!3m1!1s0x47a84efe6f490ee3:0xbb720851c71356f4,,
Ipse,,https://www.google.com/maps/place/Ipse/data=!4m2!3m1!1s0x47a84e54436186ab:0x491ee326e69fd7f4,,
Paloma,,https://www.google.com/maps/place/Paloma/data=!4m2!3m1!1s0x47a84e335e237cd3:0x1b58b7096ae2e00c,,
Ritter Butzke,,https://www.google.com/maps/place/Ritter+Butzke/data=!4m2!3m1!1s0x47a84e2c6c6d5aa5:0xe6c2573ac8bc325f,,
Æden,,https://www.google.com/maps/place/%C3%86den/data=!4m2!3m1!1s0x47a84fcd334e155d:0x4800596eb583e485,,
Zur Klappe,,https://www.google.com/maps/place/Zur+Klappe/data=!4m2!3m1!1s0x47a85028dc46a6d7:0xc6c25e64ba035e4c,,
Orangerie Neukölln,,https://www.google.com/maps/place/Orangerie+Neuk%C3%B6lln/data=!4m2!3m1!1s0x47a84fc2edba804d:0xec0c97ba5a3b6619,,
Golden Gate,,https://www.google.com/maps/place/Golden+Gate/data=!4m2!3m1!1s0x47a84fbbda7f045d:0xc62d197ae575e60f,,
Humboldthain Club,,https://www.google.com/maps/place/Humboldthain+Club/data=!4m2!3m1!1s0x47a8518991e8afad:0x7340195fb5c93dc4,,
SchwuZ,,https://www.google.com/maps/place/SchwuZ/data=!4m2!3m1!1s0x47a84fa3455cc987:0x769596c74300f925,,
OHM,,https://www.google.com/maps/place/OHM/data=!4m2!3m1!1s0x47a84e3ae53c6233:0x7d8531656bfc43a0,,
Tresor Berlin I Club & label,,https://www.google.com/maps/place/Tresor+Berlin+I+Club+%26+label/data=!4m2!3m1!1s0x47a84e3ac6dccb67:0xebef299c30508423,,
Sameheads,,https://www.google.com/maps/place/Sameheads/data=!4m2!3m1!1s0x47a84fa3de69939f:0x48780735b01319ad,,
Berghain | Panorama Bar,,https://www.google.com/maps/place/Berghain+%7C+Panorama+Bar/data=!4m2!3m1!1s0x47a84e438bc65e9f:0x6bf6d41ba1fc757c,,
