Title,Note,URL,Tags,Comment
,,,,
Schaubühne,,https://www.google.com/maps/place/Schaub%C3%BChne/data=!4m2!3m1!1s0x47a850c29837c90b:0x334fbd955e4475f7,,
Flipperhalle-Berlin,,https://www.google.com/maps/place/Flipperhalle-Berlin/data=!4m2!3m1!1s0x47a85bbffa876013:0x1de99286d8c9c1cf,,
zik Zeit ist knapp / Zentrum für internationale Künste,,https://www.google.com/maps/place/zik+Zeit+ist+knapp+%2F+Zentrum+f%C3%BCr+internationale+K%C3%BCnste/data=!4m2!3m1!1s0x47a85b007a0b16bd:0x3ea9ed52dcbaacfa,,
Koyma Traditionelle Thailändische Massage,domi and alex recommended it,https://www.google.com/maps/place/Koyma+Traditionelle+Thail%C3%A4ndische+Massage/data=!4m2!3m1!1s0x47a84f0a6335e813:0xefced7d9f1ea23ae,,
Wehrmuehle Museum,art thing with ivan,https://www.google.com/maps/place/Wehrmuehle+Museum/data=!4m2!3m1!1s0x47a9b10e5befe71f:0x61ed2d0b7eac537b,,
Käthe-Niederkirchner-Straße,,https://www.google.com/maps/place/K%C3%A4the-Niederkirchner-Stra%C3%9Fe/data=!4m2!3m1!1s0x47a84e0e4a3ee1c3:0x88d22939192caf60,,
Pfefferberg Theater,,https://www.google.com/maps/place/Pfefferberg+Theater/data=!4m2!3m1!1s0x47a851fd53869769:0x4d14028c7af65eca,,
Staatsbibliothek zu Berlin - Preußischer Kulturbesitz,look at this interior ciro posted it on IG,https://www.google.com/maps/place/Staatsbibliothek+zu+Berlin+-+Preu%C3%9Fischer+Kulturbesitz/data=!4m2!3m1!1s0x47a851c9f7da2c2b:0x810df1c9c3a7419f,,
MOBIKART Fun Racing GmbH,,https://www.google.com/maps/place/MOBIKART+Fun+Racing+GmbH/data=!4m2!3m1!1s0x47a84c176c7d0ed1:0xf0cdc9c5560fbb5e,,
Kino Casablanca,,https://www.google.com/maps/place/Kino+Casablanca/data=!4m2!3m1!1s0x47a84e111d4c91a7:0xf7f8368990a3f52b,,
Baan-Nuad Thaimassage,"Semi went here, said it was painful but great massage. is that good? tbd…",https://www.google.com/maps/place/Baan-Nuad+Thaimassage/data=!4m2!3m1!1s0x47a851c0678307a5:0xbbeeecd855a9573c,,
Freiluftkino Kreuzberg,,https://www.google.com/maps/place/Freiluftkino+Kreuzberg/data=!4m2!3m1!1s0x47a84e3145f158b3:0x86b79ac2bfa4f43e,,
Futurium,claudia said it‘s cool,https://www.google.com/maps/place/Futurium/data=!4m2!3m1!1s0x47a851bfc85f1a13:0xb06bf457dc8c0639,,
Kularb's Massagen,Morg recommended ,https://www.google.com/maps/place/Kularb's+Massagen/data=!4m2!3m1!1s0x47a84f9bfb897e13:0xaa4ddb65d216c826,,
Club Mud Berlin,,https://www.google.com/maps/place/Club+Mud+Berlin/data=!4m2!3m1!1s0x47a84f9be4a40001:0x960db813b70e5790,,
Ceramic Kingdom,,https://www.google.com/maps/place/Ceramic+Kingdom/data=!4m2!3m1!1s0x47a84fbcb3eea1b7:0xab672d8542154e6f,,
Studio Roiii,Jenni sent this,https://www.google.com/maps/place/Studio+Roiii/data=!4m2!3m1!1s0x47a84f28ce6bd06b:0x70c81bb4a6a04cb6,,
Ting Traditionelle Thaimassage & Akupresur,julian said it’s good,https://www.google.com/maps/place/Ting+Traditionelle+Thaimassage+%26+Akupresur/data=!4m2!3m1!1s0x47a84fa7535fcd73:0x748ff85d7d7249b5,,
Schwarzlicht-Insel Berlin,Jenni shared this with me,https://www.google.com/maps/place/Schwarzlicht-Insel+Berlin/data=!4m2!3m1!1s0x47a85bae81255979:0xe5132e478b0a259f,,
TV-Asahi cherry blossom avenue on the Mauerweg,,https://www.google.com/maps/place/TV-Asahi+cherry+blossom+avenue+on+the+Mauerweg/data=!4m2!3m1!1s0x47a85b6b6a245bdd:0x9036d32441afacb0,,
LaserTag.Berlin,,https://www.google.com/maps/place/LaserTag.Berlin/data=!4m2!3m1!1s0x47a84f52a79abb5d:0x331effeb06b8696a,,
Tennis club SCC Berlin e.V.,joana and tidings were here,https://www.google.com/maps/place/Tennis+club+SCC+Berlin+e.V./data=!4m2!3m1!1s0x47a8573144167d99:0x71e9b91a8a817cee,,
JUMP House Reinickendorf,,https://www.google.com/maps/place/JUMP+House+Reinickendorf/data=!4m2!3m1!1s0x47a85476476d33af:0x3aacc4f2efaabb5a,,
Cowboy Club Old Texas Berlin 1950 e.V.,,https://www.google.com/maps/place/Cowboy+Club+Old+Texas+Berlin+1950+e.V./data=!4m2!3m1!1s0x47a85693264af3c7:0xd00fd1b1db372bac,,
CLIMB UP! - Kletterwald in Hennigsdorf,julian from morgan said this is cool,https://www.google.com/maps/place/CLIMB+UP!+-+Kletterwald+in+Hennigsdorf/data=!4m2!3m1!1s0x47a8555d160af5a7:0xa1bb52250ef069de,,
Aussichtsturm am Finkenberg,,https://www.google.com/maps/place/Aussichtsturm+am+Finkenberg/data=!4m2!3m1!1s0x47a8f76748050f87:0x3c955663ab6c0c00,,
the temporary bauhaus-archiv / museum für gestaltung,,https://www.google.com/maps/place/the+temporary+bauhaus-archiv+%2F+museum+f%C3%BCr+gestaltung/data=!4m2!3m1!1s0x47a85163e52e2065:0xbc6e508342e8ee7a,,
Delphi LUX,From Danilo's insta story,https://www.google.com/maps/place/Delphi+LUX/data=!4m2!3m1!1s0x47a850fe7a22b9db:0x541bc00a63529f7,,
Berlin Zoological Garden,,https://www.google.com/maps/place/Berlin+Zoological+Garden/data=!4m2!3m1!1s0x47a851aabdc86f69:0x8139eb3ae980ae7e,,
Aquarium Berlin,,https://www.google.com/maps/place/Aquarium+Berlin/data=!4m2!3m1!1s0x47a851aabdc86f69:0x6f120666c75e07fe,,
Berliner U-Bahn-Museum,,https://www.google.com/maps/place/Berliner+U-Bahn-Museum/data=!4m2!3m1!1s0x47a856dfd3f9e0ff:0xd62564e80c88dab1,,
Hochbunker Pallasstraße,,https://www.google.com/maps/place/Hochbunker+Pallasstra%C3%9Fe/data=!4m2!3m1!1s0x47a850487f529fcf:0xfde2eea4b2590b0c,,
Schwules Museum,,https://www.google.com/maps/place/Schwules+Museum/data=!4m2!3m1!1s0x47a8502627c84535:0xcd736ce22edb7533,,
LEGOLAND Discovery Centre Berlin,,https://www.google.com/maps/place/LEGOLAND+Discovery+Centre+Berlin/data=!4m2!3m1!1s0x47a851947a55bbcd:0x8c08d625529692db,,
