Title,Note,URL,Tags,Comment
,,,,
Luna D'Oro,,https://www.google.com/maps/place/Luna+D'Oro/data=!4m2!3m1!1s0x47a85100457206c9:0x4ba2656ce4d3889c,,
Mak Phed,,https://www.google.com/maps/place/Mak+Phed/data=!4m2!3m1!1s0x47a84faa29724ac1:0xbffca84b3d3705cf,,
Dirty Dumplings,,https://www.google.com/maps/place/Dirty+Dumplings/data=!4m2!3m1!1s0x47a84f006065f221:0x9fcdf3f74c229907,,
BLOCK1,johnny works here,https://www.google.com/maps/place/BLOCK1/data=!4m2!3m1!1s0x47a84f59fd902275:0x62af8340b6dd173f,,
Zur Alten Laterne,,https://www.google.com/maps/place/Zur+Alten+Laterne/data=!4m2!3m1!1s0x47a8487054b1f177:0x72edff092cfa7f37,,
Kōji Handroll Bar,,https://www.google.com/maps/place/K%C5%8Dji+Handroll+Bar/data=!4m2!3m1!1s0x47a84f0061aab2f3:0x4af59fb8cf683d85,,
MOIM,,https://www.google.com/maps/place/MOIM/data=!4m2!3m1!1s0x47a84f0059b67bab:0x49b25fa89b019498,,
Great Barrier,,https://www.google.com/maps/place/Great+Barrier/data=!4m2!3m1!1s0x47a84f6f6ad84401:0x1d77667b05e36fc0,,
Tossakan Berlin,,https://www.google.com/maps/place/Tossakan+Berlin/data=!4m2!3m1!1s0x47a84d575b2a27d1:0x84d3dbab80cb4f65,,
s h i z u k u .,,https://www.google.com/maps/place/s+h+i+z+u+k+u+./data=!4m2!3m1!1s0x47a84f657be64d23:0xf4bdc4c5b146654a,,
Pancho-Villa Cantina,,https://www.google.com/maps/place/Pancho-Villa+Cantina/data=!4m2!3m1!1s0x47a84fda2f36f3ef:0x6867626855bdab60,,
Humble Pie,,https://www.google.com/maps/place/Humble+Pie/data=!4m2!3m1!1s0x47a853c4fe771d3b:0x862191c3652b0b54,,
Hanuman Thai Curry House,,https://www.google.com/maps/place/Hanuman+Thai+Curry+House/data=!4m2!3m1!1s0x47a84f14e5ea5a57:0x95f316c7f04c85b3,,
Der Fischladen,,https://www.google.com/maps/place/Der+Fischladen/data=!4m2!3m1!1s0x47a8515d22a1f9df:0x544fa0d033211ea3,,
Blackbeards,,https://www.google.com/maps/place/Blackbeards/data=!4m2!3m1!1s0x47a85200b33ea831:0x6df9e757ac01e5d5,,
China Restaurant Laoxiang,,https://www.google.com/maps/place/China+Restaurant+Laoxiang/data=!4m2!3m1!1s0x47a84dfbf88699df:0x87d6ad406ff55b39,,
Sasaya,,https://www.google.com/maps/place/Sasaya/data=!4m2!3m1!1s0x47a84dff7fc65425:0xa5112b5e44056103,,
Lecker Song,,https://www.google.com/maps/place/Lecker+Song/data=!4m2!3m1!1s0x47a84dff0ad3d9f1:0xd376c74ffcd553e6,,
BENEDICT Prenzlauer Berg Berlin,,https://www.google.com/maps/place/BENEDICT+Prenzlauer+Berg+Berlin/data=!4m2!3m1!1s0x47a84de148f842e5:0x8492c2c7c7ef9fb4,,
Takumi NINE,,https://www.google.com/maps/place/Takumi+NINE/data=!4m2!3m1!1s0x47a8520044ed38c5:0x8576b01265e363e1,,
Ushido,,https://www.google.com/maps/place/Ushido/data=!4m2!3m1!1s0x47a85200040eb04d:0xbf9a4b50df0fe70f,,
FRIEDA,,https://www.google.com/maps/place/FRIEDA/data=!4m2!3m1!1s0x47a8536cc2e4b1db:0x46e22835fae90157,,
Osmans Töchter,,https://www.google.com/maps/place/Osmans+T%C3%B6chter/data=!4m2!3m1!1s0x4165219dc6971787:0xb845c65aa67d5f21,,
BUN BAO Finest Asian Burgers,,https://www.google.com/maps/place/BUN+BAO+Finest+Asian+Burgers/data=!4m2!3m1!1s0x47a84e01102da2c7:0x18a2813bf0d481ee,,
Yume Deli,,https://www.google.com/maps/place/Yume+Deli/data=!4m2!3m1!1s0x47a84fb9a1ba7cc3:0xb0add48e49acc510,,
Chutnify,,https://www.google.com/maps/place/Chutnify/data=!4m2!3m1!1s0x47a84e01abfafb3f:0x4e5091c24f205d78,,
Maria Bonita,,https://www.google.com/maps/place/Maria+Bonita/data=!4m2!3m1!1s0x47a84e0013bfe74d:0x23555ca008d4d4ee,,
