Title,Note,URL,Tags,Comment
,,,,
Bernsteinsee,julien said the water is clear,https://www.google.com/maps/place/Bernsteinsee/data=!4m2!3m1!1s0x47a9bad0158d5dbd:0x4f3f854fd04f834c,,
Liepnitzsee,,https://www.google.com/maps/place/Liepnitzsee/data=!4m2!3m1!1s0x47a9afd4aa944743:0x8debc487ac1d76f2,,
Müggelberge,,https://www.google.com/maps/place/M%C3%BCggelberge/data=!4m2!3m1!1s0x47a83817d7137f11:0xebdb1c81c5ba1eb,,
Erkner,Elissa recommended this area,https://www.google.com/maps/place/Erkner/data=!4m2!3m1!1s0x47a830bb4c3b0753:0xe1c2089c3e93ce17,,
Teufelsberg,,https://www.google.com/maps/place/Teufelsberg/data=!4m2!3m1!1s0x47a857677b59223f:0x3f9fca18262304ed,,
Friedhof Berlin (II. Sophien-Friedhof),,https://www.google.com/maps/place/Friedhof+Berlin+(II.+Sophien-Friedhof)/data=!4m2!3m1!1s0x47a851f1e036192d:0x1e4f1040cffc76fc,,
Schlossgarten Petzow,friends of julian do the garten here,https://www.google.com/maps/place/Schlossgarten+Petzow/data=!4m2!3m1!1s0x47a8f37bf9272f61:0x9a2983cdb899414,,
Beelitz Heilstätten „Das Alpenhaus“,,https://www.google.com/maps/place/Beelitz+Heilst%C3%A4tten+%E2%80%9EDas+Alpenhaus%E2%80%9C/data=!4m2!3m1!1s0x47a88bf633a1d979:0x213b3cd2ffbf2736,,
Waldplatz,,https://www.google.com/maps/place/Waldplatz/data=!4m2!3m1!1s0x47a843be3d9e4bc7:0x2da8ff0387fca157,,
Schlachtensee,,https://www.google.com/maps/place/Schlachtensee/data=!4m2!3m1!1s0x47a85998a10df88d:0x1fd5678152f5cf0e,,
Sandgrube im Jagen 86 des Grunewaldes,,https://www.google.com/maps/place/Sandgrube+im+Jagen+86+des+Grunewaldes/data=!4m2!3m1!1s0x47a85742e3ba79df:0xaad4c900917c41a6,,
Alpengipfel,,https://www.google.com/maps/place/Alpengipfel/data=!4m2!3m1!1s0x47a844c5cdc64153:0xe33a7de7fe8fc282,,
Rieselfelder Karolinenhöhe,,https://www.google.com/maps/place/Rieselfelder+Karolinenh%C3%B6he/data=!4m2!3m1!1s0x47a857e8b7491dbf:0x86f564ec8addf94c,,
Eichwerder Moorwiesen,,https://www.google.com/maps/place/Eichwerder+Moorwiesen/data=!4m2!3m1!1s0x47a8534fa82f2655:0x1081636ce2db8aea,,
Von-der-Schulenburg-Park,,https://www.google.com/maps/place/Von-der-Schulenburg-Park/data=!4m2!3m1!1s0x47a84f6b02e91f2f:0x9297900f4deb3ba,,
ModellPark Berlin-Brandenburg,erin sent this,https://www.google.com/maps/place/ModellPark+Berlin-Brandenburg/data=!4m2!3m1!1s0x47a848c14a9c5ac5:0xfb8184d4c714ce1c,,
Flugplatz Johannisthal,,https://www.google.com/maps/place/Flugplatz+Johannisthal/data=!4m2!3m1!1s0x47a8461dc7ba6ac7:0x2f2fb1d1c3fb5842,,
Mendler Milchhof Landwirtschaftliche Betriebe,Rbb,https://www.google.com/maps/place/Mendler+Milchhof+Landwirtschaftliche+Betriebe/data=!4m2!3m1!1s0x47a84644d5e37e91:0xa486386991a72fc1,,
Lichtenrade,Rbb,https://www.google.com/maps/place/Lichtenrade/data=!4m2!3m1!1s0x47a84460a9155c0d:0xabf38cfa2a81359c,,
Gemeindepark Lankwitz,Rbb,https://www.google.com/maps/place/Gemeindepark+Lankwitz/data=!4m2!3m1!1s0x47a85b82f01e461d:0xd7940ec2626df49d,,
Gemeindepark Lankwitz,Rbb,https://www.google.com/maps/place/Gemeindepark+Lankwitz/data=!4m2!3m1!1s0x47a85ace4b88f5fd:0x8a0b32d0a080e1ea,,
Designfliesen.de,,https://www.google.com/maps/place/Designfliesen.de/data=!4m2!3m1!1s0x47a85a857114f683:0xc0a4e117271efe7e,,
Botanical Garden and Botanical Museum,,https://www.google.com/maps/place/Botanical+Garden+and+Botanical+Museum/data=!4m2!3m1!1s0x47a85a7b6d5c8f0b:0x15a2acff1c8d8de8,,
ZK/U (Zentrum für Kunst und Urbanistik),,https://www.google.com/maps/place/ZK%2FU+(Zentrum+f%C3%BCr+Kunst+und+Urbanistik)/data=!4m2!3m1!1s0x47a851720fa986bd:0xbfd0e8c6c0336115,,
Drachenberg,,https://www.google.com/maps/place/Drachenberg/data=!4m2!3m1!1s0x47a8573c48649b8b:0x81bedc9d4f60b05c,,
Tegeler Insel,From the RBB documentary,https://www.google.com/maps/place/Tegeler+Insel/data=!4m2!3m1!1s0x47a8545b50adf2cd:0xf1ff9826571c89ba,,
Lake Tegel,,https://www.google.com/maps/place/Lake+Tegel/data=!4m2!3m1!1s0x47a85433ee35caf5:0x9a2efbc16e8af73e,,
Südwestkirchhof Stahnsdorf,"jason said this is from Dark, the show",https://www.google.com/maps/place/S%C3%BCdwestkirchhof+Stahnsdorf/data=!4m2!3m1!1s0x47a85ec8de9a7e8f:0x809b0094af718aa8,,
Church of the Redeemer,,https://www.google.com/maps/place/Church+of+the+Redeemer/data=!4m2!3m1!1s0x47a8f63c8604cfff:0xa35db3bc7ee8e3a8,,
Strandbad Wannsee - Berliner Bäder,,https://www.google.com/maps/place/Strandbad+Wannsee+-+Berliner+B%C3%A4der/data=!4m2!3m1!1s0x47a858ffef30e359:0x165816b49cc6929a,,
Schlossgarten Charlottenburg,,https://www.google.com/maps/place/Schlossgarten+Charlottenburg/data=!4m2!3m1!1s0x47a8512e2a56082d:0x311cbd01e3aab5b8,,
Nelly-Sachs-Park View Point,,https://www.google.com/maps/place/Nelly-Sachs-Park+View+Point/data=!4m2!3m1!1s0x47a851f61c70320b:0x48b019eff2067c08,,
Badeschiff,,https://www.google.com/maps/place/Badeschiff/data=!4m2!3m1!1s0x47a84e55b3f927d9:0x1d3d804d4ffad2c8,,
Nachbarschaftsgarten Moritzplatz,,https://www.google.com/maps/place/Nachbarschaftsgarten+Moritzplatz/data=!4m2!3m1!1s0x416523bd03fb9b1d:0x3a82da3fd2862e57,,
Promenade am Plötzensee,,https://www.google.com/maps/place/Promenade+am+Pl%C3%B6tzensee/data=!4m2!3m1!1s0x47a85166813c84c9:0xa8b312b51e42370c,,
Dreiländereck,,https://www.google.com/maps/place/Dreil%C3%A4ndereck/data=!4m2!3m1!1s0x47a84f822609f037:0x75a02f6f76eb2bb9,,
