Title,Note,URL,Tags,Comment
,,,,
GRÜNWASCHEN,,https://www.google.com/maps/place/GR%C3%9CNWASCHEN/data=!4m2!3m1!1s0x47a84f0266663375:0xb007e743a19da256,,
Aufschnitt Berlin - Textiles Objekt Design - Besondere Geschenke,,https://www.google.com/maps/place/Aufschnitt+Berlin+-+Textiles+Objekt+Design+-+Besondere+Geschenke/data=!4m2!3m1!1s0x47a84e5e57a2d419:0xacdf1506c5bb12dd,,
Chapters Bookshop,ceecee,https://www.google.com/maps/place/Chapters+Bookshop/data=!4m2!3m1!1s0x47a85100128475d9:0xc3a9597f175bb401,,
SXC.Showroom,jenni wants to go here,https://www.google.com/maps/place/SXC.Showroom/data=!4m2!3m1!1s0x47a84f5829264f33:0x9a4c214946c58418,,
Comicbibliothek Renate,walked by this place it looked like a really cool comic and prints shop,https://www.google.com/maps/place/Comicbibliothek+Renate/data=!4m2!3m1!1s0x47a851e89da41fa3:0xc06132358ac048a3,,
fajny/fajna Kilo Secondhand & Vintage,,https://www.google.com/maps/place/fajny%2Ffajna+Kilo+Secondhand+%26+Vintage/data=!4m2!3m1!1s0x47a84f591f052f51:0x58e0da7e307bd2b1,,
VIA Blumenfisch gGmbH,,https://www.google.com/maps/place/VIA+Blumenfisch+gGmbH/data=!4m2!3m1!1s0x47a850101e2e5ad5:0xc9df79d2e652447,,
Trödelhalle Schatzkammer - Schwerin,,https://www.google.com/maps/place/Tr%C3%B6delhalle+Schatzkammer+-+Schwerin/data=!4m2!3m1!1s0x47add93951675273:0x741c29638fb3120,,
RAVEMORE BERLIN | R+,,https://www.google.com/maps/place/RAVEMORE+BERLIN+%7C+R%2B/data=!4m2!3m1!1s0x47a84fb55f2f02c7:0x70bfa3c73c556f6c,,
gorgeous,,https://www.google.com/maps/place/gorgeous/data=!4m2!3m1!1s0x47a8520171c42673:0x3eaaf90f6487189f,,
Scandinavian Objects,,https://www.google.com/maps/place/Scandinavian+Objects/data=!4m2!3m1!1s0x47a84e00dab14c73:0x3bdd8e786609fde3,,
Holzapfel,,https://www.google.com/maps/place/Holzapfel/data=!4m2!3m1!1s0x47a84e03954ddb0f:0x99f3c725c54b480f,,
MDC cosmetic,,https://www.google.com/maps/place/MDC+cosmetic/data=!4m2!3m1!1s0x47a84e03c842a07d:0x917f9a00a5a42fc4,,
Dr. Kochan Liquor Culture,,https://www.google.com/maps/place/Dr.+Kochan+Liquor+Culture/data=!4m2!3m1!1s0x47a84e045f57479f:0x9683bf8d36d09264,,
PLATTE,jenni will da unbedigt hin weil die so besondere sachen haben.,https://www.google.com/maps/place/PLATTE/data=!4m2!3m1!1s0x47a84f806874d095:0xb048a94bd875dc83,,
Apartment,,https://www.google.com/maps/place/Apartment/data=!4m2!3m1!1s0x47a84e1e46416efd:0x6745d77020c4cd95,,
