Title,Note,URL,Tags,Comment
,,,,
THREE POINTS Tattoo Berlin,,https://www.google.com/maps/place/THREE+POINTS+Tattoo+Berlin/data=!4m2!3m1!1s0x47a84f5e2efaf0f9:0xecc7627201e58184,,
Now & Then tattooing,,https://www.google.com/maps/place/Now+%26+Then+tattooing/data=!4m2!3m1!1s0x47a84f6404831353:0xf1062c2ff0cfdb58,,
Golf Club Tattoo Studio,,https://www.google.com/maps/place/Golf+Club+Tattoo+Studio/data=!4m2!3m1!1s0x47a851003d29c125:0x11b0e991145c03e2,,
Unter der Hand,,https://www.google.com/maps/place/Unter+der+Hand/data=!4m2!3m1!1s0x47a84fbb8453553f:0x988ca811cdb4ca1e,,
Electric Reaper Tattoo,,https://www.google.com/maps/place/Electric+Reaper+Tattoo/data=!4m2!3m1!1s0x47a84f99c31deeef:0x8df061810679e53d,,
KATINKA INK,,https://www.google.com/maps/place/KATINKA+INK/data=!4m2!3m1!1s0x47a84f51928499cb:0x7d47ff8dda058980,,
Good Old Times Tattoo Berlin,,https://www.google.com/maps/place/Good+Old+Times+Tattoo+Berlin/data=!4m2!3m1!1s0x47a851e5babb7b4f:0xcefe88fba92df198,,
AKA,,https://www.google.com/maps/place/AKA/data=!4m2!3m1!1s0x47a84fb66e214c1d:0xd1c0371639f56177,,
A Better Way Tattoo Parlour,,https://www.google.com/maps/place/A+Better+Way+Tattoo+Parlour/data=!4m2!3m1!1s0x47a84fa242478d95:0xffa08bf42152a773,,
Animal Kingdom,,https://www.google.com/maps/place/Animal+Kingdom/data=!4m2!3m1!1s0x47a8523078949ba5:0xfc5e47c976b720fc,,
The Chamber,julien initially told me about this place,https://www.google.com/maps/place/The+Chamber/data=!4m2!3m1!1s0x47a851dc31e9b843:0x262f1482c98eddd4,,
