Title,Note,URL,Tags,Comment
,,,,
Rodeo Vintage Berlin,jenni sent it on ig,https://www.google.com/maps/place/Rodeo+Vintage+Berlin/data=!4m2!3m1!1s0x47a85399b8d4421d:0x278a4ef8fcdc3011,,
Homefullofclothes,random asian youtuber,https://www.google.com/maps/place/Homefullofclothes/data=!4m2!3m1!1s0x47a853dc72e1bdc3:0xbe25b69704300d91,,
Vintage revivals,,https://www.google.com/maps/place/Vintage+revivals/data=!4m2!3m1!1s0x47a85205d570d929:0x437abfc3536f0cc6,,
Soeur,,https://www.google.com/maps/place/Soeur/data=!4m2!3m1!1s0x47a84e058f051bb7:0x4bf04cc207a3c6a9,,
Sammen Secønd Hånd (second hand shop ) Hackescher Markt,Maxime,https://www.google.com/maps/place/Sammen+Sec%C3%B8nd+H%C3%A5nd+(second+hand+shop+)+Hackescher+Markt/data=!4m2!3m1!1s0x47a851a8cdc118f1:0xfc2278e6f528c53a,,
rack 'n white,berlin food feast,https://www.google.com/maps/place/rack+'n+white/data=!4m2!3m1!1s0x47a851a9a2642451:0x953b530947f2f1c2,,
Secondo Berlin,,https://www.google.com/maps/place/Secondo+Berlin/data=!4m2!3m1!1s0x47a8507d680238d1:0xbc13f981f2da2441,,
Wsiura Lite,saw this on some guy's instagram who had HUGE pants,https://www.google.com/maps/place/Wsiura+Lite/data=!4m2!3m1!1s0x47a84faf0c22a9cf:0x470409bba1dec12e,,
Homefullofclothes,,https://www.google.com/maps/place/Homefullofclothes/data=!4m2!3m1!1s0x47a84fcaaca7aa37:0x4188faca80810b46,,
fajny/fajna Kilo Secondhand & Vintage,Berlinfoodfeast,https://www.google.com/maps/place/fajny%2Ffajna+Kilo+Secondhand+%26+Vintage/data=!4m2!3m1!1s0x47a85199685f9c3b:0x7d9c7cb2420799cb,,
Sammen Secønd Hånd (second hand shop) Hermannplatz,Maxime,https://www.google.com/maps/place/Sammen+Sec%C3%B8nd+H%C3%A5nd+(second+hand+shop)+Hermannplatz/data=!4m2!3m1!1s0x47a84fcb2acea215:0x3997d5152050e343,,
spatz vintage,saw this on some guy's instagram who had HUGE pants,https://www.google.com/maps/place/spatz+vintage/data=!4m2!3m1!1s0x47a84faf8d98bf05:0xef24e1e4093d8034,,
wsiura,saw this on some guy's instagram who had HUGE pants,https://www.google.com/maps/place/wsiura/data=!4m2!3m1!1s0x47a84fb5c3900001:0x367f2382b3a06edf,,
Sing Blackbird Vintage,,https://www.google.com/maps/place/Sing+Blackbird+Vintage/data=!4m2!3m1!1s0x47a84fb5db2332d3:0xf3985fcc67cb856,,
Joo Vintage,,https://www.google.com/maps/place/Joo+Vintage/data=!4m2!3m1!1s0x47a84fc7eae620c1:0xe5d35c5c2e3b3535,,
Clueless,rode past it on the bus,https://www.google.com/maps/place/Clueless/data=!4m2!3m1!1s0x47a84ff26efca4cf:0x3d32f4d17f0e784e,,
Pineapple Factory Gallery,,https://www.google.com/maps/place/Pineapple+Factory+Gallery/data=!4m2!3m1!1s0x47a8518db4ab46c9:0x29fcbd511280e13b,,
