Title,Note,URL,Tags,Comment
,,,,
The Aberdeen Tap,,https://www.google.com/maps/place/The+Aberdeen+Tap/data=!4m2!3m1!1s0x880e2cd6906e76c3:0xbd079b1074f91827,,
Rainbo Club,,https://www.google.com/maps/place/Rainbo+Club/data=!4m2!3m1!1s0x880fd2c9db9def9d:0x4416c46ff6b9ae79,,
Sportsman's Club,,https://www.google.com/maps/place/Sportsman's+Club/data=!4m2!3m1!1s0x880fd2b27d408529:0xbe6609eaa46e7e34,,
The Empty Bottle,,https://www.google.com/maps/place/The+Empty+Bottle/data=!4m2!3m1!1s0x880fd2b2124ce047:0x4a5c70717b774515,,
The Owl,,https://www.google.com/maps/place/The+Owl/data=!4m2!3m1!1s0x880fcd7b3a701d07:0x244e8748e6f52f69,,
Logan Arcade,,https://www.google.com/maps/place/Logan+Arcade/data=!4m2!3m1!1s0x880fd29aa28c433d:0x70e42de27f7ec47f,,
The Whistler,,https://www.google.com/maps/place/The+Whistler/data=!4m2!3m1!1s0x880fcd633e9dd16d:0x32fb26f9697a2914,,
Scofflaw,,https://www.google.com/maps/place/Scofflaw/data=!4m2!3m1!1s0x880fcd67e349c561:0x945f1660bae150ae,,
Small Bar,,https://www.google.com/maps/place/Small+Bar/data=!4m2!3m1!1s0x880fcd78667926c9:0x621fa3d9db6425b1,,
Dram Shop,,https://www.google.com/maps/place/Dram+Shop/data=!4m2!3m1!1s0x880fd3a6df8bcaa7:0x4116267cef8a040d,,
Long Room Chicago,,https://www.google.com/maps/place/Long+Room+Chicago/data=!4m2!3m1!1s0x880fd2479719db69:0x23a8dbcf77a2eaab,,
Hopleaf,,https://www.google.com/maps/place/Hopleaf/data=!4m2!3m1!1s0x880fd1881b07be2f:0x183fa797e81c0b64,,
