Title,Note,URL,Tags,Comment
,,,,
Towne Tavern at Rock Hill,16 wings for $10. went here with ben jack 5 aug 25,https://www.google.com/maps/place/Towne+Tavern+at+Rock+Hill/data=!4m2!3m1!1s0x885688b1471cb9a9:0x1a350a7e6a24a473,,
Kounter,,https://www.google.com/maps/place/Kounter/data=!4m2!3m1!1s0x885689bc058c40c1:0x599ec5cc2dd0a85b,,
Rock Taco,,https://www.google.com/maps/place/Rock+Taco/data=!4m2!3m1!1s0x885689325675169d:0xc3cb9b5cf27288e,,
Elk Ave Tavern,had it saved but ben visser also sent it to me,https://www.google.com/maps/place/Elk+Ave+Tavern/data=!4m2!3m1!1s0x8856890006e73c1f:0x95025a7bfd0a080,,
Elsie's at Kounter,,https://www.google.com/maps/place/Elsie's+at+Kounter/data=!4m2!3m1!1s0x88568928327c7d4f:0x6c1ae95be5898a36,,
Slow Play Brewing,,https://www.google.com/maps/place/Slow+Play+Brewing/data=!4m2!3m1!1s0x8856890d6725c317:0x94533607ff78c201,,
Tony's Cantina Mexican Grill,,https://www.google.com/maps/place/Tony's+Cantina+Mexican+Grill/data=!4m2!3m1!1s0x885685ba3eb60ae1:0x929f7e7bb1327b3e,,
Las Americas Supermarket,,https://www.google.com/maps/place/Las+Americas+Supermarket/data=!4m2!3m1!1s0x885688b6d4b74e13:0x7d611618759e130,,
Rich Hill Billy Trading & Consignment LLC,,https://www.google.com/maps/place/Rich+Hill+Billy+Trading+%26+Consignment+LLC/data=!4m2!3m1!1s0x8855c5c6acd7f713:0x7c2c61a85302db21,,
Mado Bakery and Cafe,,https://www.google.com/maps/place/Mado+Bakery+and+Cafe/data=!4m2!3m1!1s0x8856894a01a3c98d:0x4ccb2a811e393280,,
Second Editions - Rock Hill (Goodwill Outlet),,https://www.google.com/maps/place/Second+Editions+-+Rock+Hill+(Goodwill+Outlet)/data=!4m2!3m1!1s0x885687a57800139b:0xb40c8c119e4350ac,,
Samaritaine Paris Pont-Neuf,,https://www.google.com/maps/place/Samaritaine+Paris+Pont-Neuf/data=!4m2!3m1!1s0x47e66e21b987fced:0x35361b69f3e8956c,,
Boulevard,,https://www.google.com/maps/place/Boulevard/data=!4m2!3m1!1s0x808580644adbec17:0x34b391d08d9fe6bc,,
Alaska Friseure,,https://www.google.com/maps/place/Alaska+Friseure/data=!4m2!3m1!1s0x47bd974b0ce7c83d:0xaef75df64cd44d66,,
Klöter Chicken Ranch - Klöter Gaststätten GmbH,,https://www.google.com/maps/place/Kl%C3%B6ter+Chicken+Ranch+-+Kl%C3%B6ter+Gastst%C3%A4tten+GmbH/data=!4m2!3m1!1s0x479625d5ce54be45:0x153a99a1f3dcdf0c,,
ALMIRANTE BRUNCH,,https://www.google.com/maps/place/ALMIRANTE+BRUNCH/data=!4m2!3m1!1s0xc47b51fb32aec33:0xdcf089db52633207,,
Palo Alto,,https://www.google.com/maps/place/Palo+Alto/data=!4m2!3m1!1s0x12a4a343848161c5:0x72be15ed5434f75e,,
Kühlhaus Görlitz,Good2U Festival,https://www.google.com/maps/place/K%C3%BChlhaus+G%C3%B6rlitz/data=!4m2!3m1!1s0x4708de8e4ddfb489:0x55634865db2d3dad,,
Ferienwohnung Heike Runge,,https://www.google.com/maps/place/Ferienwohnung+Heike+Runge/data=!4m2!3m1!1s0x47b06137feb9d967:0x1dc24a3c7489c7d6,,
Dim Sum Haus,,https://www.google.com/maps/place/Dim+Sum+Haus/data=!4m2!3m1!1s0x47b18ee0d4087bf3:0x88d487b6fb874045,,
Butero,,https://www.google.com/maps/place/Butero/data=!4m2!3m1!1s0x471ecd6c8f937647:0x192d873fbd38fa7e,,
QUASĄ,,https://www.google.com/maps/place/QUAS%C4%84/data=!4m2!3m1!1s0x471ecd0055ee1713:0x3c19bcf54d776bdd,,
BUNO Espresso Bar,,https://www.google.com/maps/place/BUNO+Espresso+Bar/data=!4m2!3m1!1s0x471ecd29d35e6b25:0x753410ce712f145b,,
Mąka i Woda,,https://www.google.com/maps/place/M%C4%85ka+i+Woda/data=!4m2!3m1!1s0x471eccf415963063:0x37cebff26bc6f047,,
Kwadratowy Pies Pizza,,https://www.google.com/maps/place/Kwadratowy+Pies+Pizza/data=!4m2!3m1!1s0x471ecdf8d09588e1:0x3ce1c248208dafa8,,
PiwPaw Beer Heaven,,https://www.google.com/maps/place/PiwPaw+Beer+Heaven/data=!4m2!3m1!1s0x471eccf66fc8fad5:0x2ebff706c3cef6e9,,
PIZZA by the SLICE,,https://www.google.com/maps/place/PIZZA+by+the+SLICE/data=!4m2!3m1!1s0x471ecdb07afccdb1:0xa1471d9d9980e700,,
