Title,Note,URL,Tags,Comment
,,,,
FuertePhone,,https://www.google.com/maps/place/FuertePhone/data=!4m2!3m1!1s0xc4635905b4f1c0d:0xd92c4e8d62c5b9f2,,
Grotte des abeilles,,https://www.google.com/maps/place/Grotte+des+abeilles/data=!4m2!3m1!1s0xc47a300743cbb57:0xa17c281f6607d441,,
ACUA WATER PARK CORRALEJO,,https://www.google.com/maps/place/ACUA+WATER+PARK+CORRALEJO/data=!4m2!3m1!1s0xc46351c2bd868b5:0x54df38a8eb3955f5,,
Barranco Encantado,,https://www.google.com/maps/place/Barranco+Encantado/data=!4m2!3m1!1s0xc47b461551528ef:0x9ce4039c1b6ffd18,,
KPO,,https://www.google.com/maps/place/KPO/data=!4m2!3m1!1s0xc47c7900f322847:0xa49f6bc925039a35,,
Restaurante The Influencer,,https://www.google.com/maps/place/Restaurante+The+Influencer/data=!4m2!3m1!1s0xc47c785e6b44279:0xd3c8c7582452f6c8,,
Shou Restaurante Japonés,,https://www.google.com/maps/place/Shou+Restaurante+Japon%C3%A9s/data=!4m2!3m1!1s0xc47c63579cf1fe9:0xdec4f38606e26e24,,
Shoku Iku,,https://www.google.com/maps/place/Shoku+Iku/data=!4m2!3m1!1s0xc47c7e2d4500c3b:0xcc60a64af14d655c,,
Pizzeria Teperino,,https://www.google.com/maps/place/Pizzeria+Teperino/data=!4m2!3m1!1s0xc47b3c8b61b7b2f:0x59ad3068d2d5bec9,,
Olivo Corso,,https://www.google.com/maps/place/Olivo+Corso/data=!4m2!3m1!1s0xc47b354e0a1f20b:0x3d2c5e3e92d82561,,
RESTAURANTE EL ROQUE LOS PESCADORES,airbnb guy said it’s great,https://www.google.com/maps/place/RESTAURANTE+EL+ROQUE+LOS+PESCADORES/data=!4m2!3m1!1s0xc47b3554923142f:0xddf574c22aef5058,,
Restaurante Marea Alta,,https://www.google.com/maps/place/Restaurante+Marea+Alta/data=!4m2!3m1!1s0xc47b3b11bcbf513:0x2956c6d9d92738d9,,
Restaurante El Ancla Del Cotillo,fried strips look good,https://www.google.com/maps/place/Restaurante+El+Ancla+Del+Cotillo/data=!4m2!3m1!1s0xc464db2cbaa71c3:0x812a18207efcbb68,,
Restaurante La Morocha,,https://www.google.com/maps/place/Restaurante+La+Morocha/data=!4m2!3m1!1s0xc464d79e314d577:0xda70dd6ffecb8679,,
Playa de Tebeto,,https://www.google.com/maps/place/Playa+de+Tebeto/data=!4m2!3m1!1s0xc47b3d8f5d19557:0x68f468c74e10d008,,
Playa de Sotavento de Jandía,,https://www.google.com/maps/place/Playa+de+Sotavento+de+Jand%C3%ADa/data=!4m2!3m1!1s0xc4782b1a5a39fad:0xf9bc081c0034f977,,
Pez Gordo Fuerteventura,,https://www.google.com/maps/place/Pez+Gordo+Fuerteventura/data=!4m2!3m1!1s0xc464df4f4c280af:0xb1d93e2d95519387,,
Koi Sushi Cotillo,,https://www.google.com/maps/place/Koi+Sushi+Cotillo/data=!4m2!3m1!1s0xc464d0d56f26de9:0x8d85b648dfbda1ac,,
Playa del Mejillón,,https://www.google.com/maps/place/Playa+del+Mejill%C3%B3n/data=!4m2!3m1!1s0xc4635a9a4abf339:0x4463bb7749e5a22,,
Pájara,,https://www.google.com/maps/place/P%C3%A1jara/data=!4m2!3m1!1s0xc47a2d70002e809:0x511573915de21892,,
Playa de la Barca,,https://www.google.com/maps/place/Playa+de+la+Barca/data=!4m2!3m1!1s0xc479d340fb1ec05:0xad5d9c92bd0fce67,,
Playa de Enamorados,,https://www.google.com/maps/place/Playa+de+Enamorados/data=!4m2!3m1!1s0xc477a2e5e39fbff:0x737215034d357e95,,
Oasis Wildlife Fuerteventura,,https://www.google.com/maps/place/Oasis+Wildlife+Fuerteventura/data=!4m2!3m1!1s0xc47bcffffffffff:0xafc8d9babf08f9e3,,
Playa de los Ojos,,https://www.google.com/maps/place/Playa+de+los+Ojos/data=!4m2!3m1!1s0xc476ff58235d47d:0x840cebd66207e62c,,
