Title,Note,URL,Tags,Comment
,,,,
4 Charles Prime Rib,future canoe. impossible to get a reservation. only do reservations 1 month in advance,https://www.google.com/maps/place/4+Charles+Prime+Rib/data=!4m2!3m1!1s0x89c259942a0eb0fb:0x157ade6f9c17ad32,,
JG Melon,futurecanoe,https://www.google.com/maps/place/JG+Melon/data=!4m2!3m1!1s0x89c258c003ad1b39:0x636a5a8ae5c286ea,,
Hamburger America,,https://www.google.com/maps/place/Hamburger+America/data=!4m2!3m1!1s0x89c259989e9ec917:0x74f027a5a0b6dcd3,,
Santo Taco,saw on insta. they have a beef rotisserie (like how döner is cooked),https://www.google.com/maps/place/Santo+Taco/data=!4m2!3m1!1s0x89c2598da5edd583:0x6eee76f17c0813f2,,
Lei,,https://www.google.com/maps/place/Lei/data=!4m2!3m1!1s0x89c25b0033d4de5f:0x174933560f655420,,
schmuck.,,https://www.google.com/maps/place/schmuck./data=!4m2!3m1!1s0x89c2590077fd65ab:0x74ceb66d0bd25576,,
Sailor,sam allen posted it,https://www.google.com/maps/place/Sailor/data=!4m2!3m1!1s0x89c25b017d0017db:0x14012f4ba7421048,,
Black Forest Brooklyn - Fort Greene,,https://www.google.com/maps/place/Black+Forest+Brooklyn+-+Fort+Greene/data=!4m2!3m1!1s0x89c25bb1a50f6af1:0x6e4218d307a63a23,,
Chuko,,https://www.google.com/maps/place/Chuko/data=!4m2!3m1!1s0x89c25ba43578c677:0x8bd9396266f525c1,,
Olmsted,bon appetit did a docu on this place,https://www.google.com/maps/place/Olmsted/data=!4m2!3m1!1s0x89c25ba650aadafd:0xb90c80f36ae5500,,
Dog Day Afternoon,nyt where to eat in summer,https://www.google.com/maps/place/Dog+Day+Afternoon/data=!4m2!3m1!1s0x89c25bc04abaf22d:0x7e68b76e555d9d9f,,
Pecking House Prospect Heights,erin told me at commodore,https://www.google.com/maps/place/Pecking+House+Prospect+Heights/data=!4m2!3m1!1s0x89c25baf87d37147:0x246c6d6339b75c56,,
Lucia Pizza Of Avenue X,julians friend opened this place,https://www.google.com/maps/place/Lucia+Pizza+Of+Avenue+X/data=!4m2!3m1!1s0x89c245542e35b71f:0xcc5979cb98e418b5,,
Red Hook Tavern,"taylor pemberton posted this on instagram. he mentioned ""the classic"" which looked like an expensive burger. but there were also wontons (?) and steak (?). he was there for chinese new year. looked expensive.",https://www.google.com/maps/place/Red+Hook+Tavern/data=!4m2!3m1!1s0x89c25b9495de42bf:0xdfa3fb7f5aea4bad,,
Japan Village,,https://www.google.com/maps/place/Japan+Village/data=!4m2!3m1!1s0x89c25abf14eaaaab:0x78530e98b3cc75f2,,
Luigi's Pizza,Netflix show,https://www.google.com/maps/place/Luigi's+Pizza/data=!4m2!3m1!1s0x89c25ae614c7ff57:0xc2db102b7c600406,,
Knapp Street Pizza,saw a giant garlic knot vodka sauce cutlet sandwich on instagram ,https://www.google.com/maps/place/Knapp+Street+Pizza/data=!4m2!3m1!1s0x89c24362cc22d299:0x8441b78f5b23842a,,
Mikes Deli,netflix pizza place. something about mozzarella,https://www.google.com/maps/place/Mikes+Deli/data=!4m2!3m1!1s0x89c2f487597d8a2d:0x43fe4cd2074cac0b,,
Bill's,,https://www.google.com/maps/place/Bill's/data=!4m2!3m1!1s0x89c25c24ec921ef1:0x82b06cb6f9dfd370,,
Itzel's Taqueria Deli,,https://www.google.com/maps/place/Itzel's+Taqueria+Deli/data=!4m2!3m1!1s0x89c25c04ddec3c01:0xc2552865ded54849,,
