Title,Note,URL,Tags,Comment
,,,,
#FindThePhotoBooth,youtube sam and victor. sucked so bad. vibe was so bad the band was horrible ,https://www.google.com/maps/place/%23FindThePhotoBooth/data=!4m2!3m1!1s0x30e29f20bfeb778f:0xad003b3d90e8596d,,
JODD FAIRS Rama 9,not authentic. weird,https://www.google.com/maps/place/JODD+FAIRS+Rama+9/data=!4m2!3m1!1s0x30e29fb274407d93:0x2aba451897c0b5f,,
Yume- Japanese Cafe & Diner,,https://www.google.com/maps/place/Yume-+Japanese+Cafe+%26+Diner/data=!4m2!3m1!1s0x47a84f00649bc819:0xeb587e9b752f0c38,,
Berlin Tantuni,dilan recommended this. Tasted like nothing,https://www.google.com/maps/place/Berlin+Tantuni/data=!4m2!3m1!1s0x47a84fb95482ccff:0xa571a42b4855a43b,,
Ginza Buffet of Rock Hill,Rock Hill Eats person said this was good but not as good as Jasmine Buffet (which looks horrible). someone else said it was great.,https://www.google.com/maps/place/Ginza+Buffet+of+Rock+Hill/data=!4m2!3m1!1s0x885687a75ee77cd3:0xde06aad647801876,,
Gaulart & Maliclet Fast and French Inc.,,https://www.google.com/maps/place/Gaulart+%26+Maliclet+Fast+and+French+Inc./data=!4m2!3m1!1s0x88fe7a1049458fbf:0xbcc85dcf524fe049,,
Harry Potter New York,,https://www.google.com/maps/place/Harry+Potter+New+York/data=!4m2!3m1!1s0x89c25918e96a6ceb:0x481f7c32c685918f,,
Golden Unicorn,,https://www.google.com/maps/place/Golden+Unicorn/data=!4m2!3m1!1s0x89c25a2665c2cc5d:0xede58acf7633b27a,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84fbb202e4783:0x9bbbc327d97f7f9c,,
Output,,https://www.google.com/maps/place/Output/data=!4m2!3m1!1s0x89c25942c97aa1ed:0xf3f544c180838fa2,,
Candelaria,,https://www.google.com/maps/place/Candelaria/data=!4m2!3m1!1s0x47e66e06f0ade5e7:0xfe5e1d4c40b38ec0,,
Mmaah,,https://www.google.com/maps/place/Mmaah/data=!4m2!3m1!1s0x47a84fa87798829f:0x96e688faf8e471bd,,
Burrito Baby,,https://www.google.com/maps/place/Burrito+Baby/data=!4m2!3m1!1s0x47a84fb69db50e6b:0x177c2f11ea6ba9b6,,
Berlinburger International,,https://www.google.com/maps/place/Berlinburger+International/data=!4m2!3m1!1s0x47a84fb09074cdcd:0xdbb4649be7a5d4b3,,
