Title,Note,URL,Tags,Comment
,,,,
TREAT Neukölln - Natural Wines,,https://www.google.com/maps/place/TREAT+Neuk%C3%B6lln+-+Natural+Wines/data=!4m2!3m1!1s0x47a84fe6cec0cb59:0x73334ab286dd9698,,
CHIX Fried Chicken,,https://www.google.com/maps/place/CHIX+Fried+Chicken/data=!4m2!3m1!1s0x47a84f47b97bcd67:0x7e1fb22cffb34995,,
FREA,,https://www.google.com/maps/place/FREA/data=!4m2!3m1!1s0x47a85111316f39c5:0x168aa62f90f8231c,,
De Buena Planta,,https://www.google.com/maps/place/De+Buena+Planta/data=!4m2!3m1!1s0x80c2bb05c73a8a61:0xd91fac9372d9d317,,
Red Chicken Korean Restaurant,,https://www.google.com/maps/place/Red+Chicken+Korean+Restaurant/data=!4m2!3m1!1s0x54867180b93624e7:0x1468c941d3c0e990,,
Tender Trap,,https://www.google.com/maps/place/Tender+Trap/data=!4m2!3m1!1s0x89c25940345d1999:0xefe4bd00c8ee344a,,
Lonely Hearts Cafe,,https://www.google.com/maps/place/Lonely+Hearts+Cafe/data=!4m2!3m1!1s0x47a84fdb522b5007:0x3589bf33b39d7b14,,
Twisted Spoke,,https://www.google.com/maps/place/Twisted+Spoke/data=!4m2!3m1!1s0x880e2d2a04f7d1d1:0x82c9bf6155fe89f1,,
The Violet Hour,,https://www.google.com/maps/place/The+Violet+Hour/data=!4m2!3m1!1s0x880fd2c77b913b6b:0x38233fc388c1e225,,
Revolution Brewing - Brewpub,,https://www.google.com/maps/place/Revolution+Brewing+-+Brewpub/data=!4m2!3m1!1s0x880fcd62652c1ab3:0xb8b89b5279dbbb1f,,
A Deciple's Dream Store,,https://www.google.com/maps/place/A+Deciple's+Dream+Store/data=!4m2!3m1!1s0x88568eb4902dc5ef:0xe74e0ea2e92e1b30,,
Gourmet Soul Kitchen,fried green tkmatoes,https://www.google.com/maps/place/Gourmet+Soul+Kitchen/data=!4m2!3m1!1s0x885689d72c7e45f5:0xa84659104010d814,,
Surefire Neighborhood Market,"Ben Visser posted this place, but he tagged it ""Sunset Park Grocery""",https://www.google.com/maps/place/Surefire+Neighborhood+Market/data=!4m2!3m1!1s0x885689af5a474761:0x3003351a331616cf,,
Living Kitchen,,https://www.google.com/maps/place/Living+Kitchen/data=!4m2!3m1!1s0x88569f709713cb45:0xe8e238f1c5e6b6dc,,
Tequila Family Mexican Restaurant,,https://www.google.com/maps/place/Tequila+Family+Mexican+Restaurant/data=!4m2!3m1!1s0x885688c2dc1556bf:0xe90375ff603919e4,,
CLTCH,old starred places,https://www.google.com/maps/place/CLTCH/data=!4m2!3m1!1s0x8856a000e212a6eb:0xa407fe0537fffc6b,,
Luigi & Sons,mom recommended it,https://www.google.com/maps/place/Luigi+%26+Sons/data=!4m2!3m1!1s0x88568f533359ace7:0xbe0cb2de2ecc4c1c,,
Southern Hills Gastropub,lauren,https://www.google.com/maps/place/Southern+Hills+Gastropub/data=!4m2!3m1!1s0x88568fd00c340389:0x90e2a603e52eae8f,,
Rosati's Pizza,rock hill eats fb group,https://www.google.com/maps/place/Rosati's+Pizza/data=!4m2!3m1!1s0x8854291d6f1d5a51:0xa8ca0f504d0000e3,,
Rise & Shine Doughnut Cafe,,https://www.google.com/maps/place/Rise+%26+Shine+Doughnut+Cafe/data=!4m2!3m1!1s0x88568952968255f7:0xa7e339b922b0413a,,
Soulland,,https://www.google.com/maps/place/Soulland/data=!4m2!3m1!1s0x4652530abc66cacf:0xbd4aa3488a4f9d92,,
Fonda Balam,somehow related to matty matheson,https://www.google.com/maps/place/Fonda+Balam/data=!4m2!3m1!1s0x882b35c34efc50a1:0xb2d839668c3b672f,,
61 Local,,https://www.google.com/maps/place/61+Local/data=!4m2!3m1!1s0x89c25a4e27835eb9:0xf5363cbf2f84b91c,,
French Garment Cleaners,,https://www.google.com/maps/place/French+Garment+Cleaners/data=!4m2!3m1!1s0x89c25bb108637a19:0x5610ea8244719bab,,
MeMe's Diner,,https://www.google.com/maps/place/MeMe's+Diner/data=!4m2!3m1!1s0x89c25ba165d6307d:0x725da55a61e148e7,,
Quantum Brooklyn,,https://www.google.com/maps/place/Quantum+Brooklyn/data=!4m2!3m1!1s0x89c25af06fd2db11:0xb07f28e0abc7ac27,,
Cafe Steinhof,,https://www.google.com/maps/place/Cafe+Steinhof/data=!4m2!3m1!1s0x89c25ae28b84a0e1:0x5f4c372efac6a790,,
Modern Anthology,,https://www.google.com/maps/place/Modern+Anthology/data=!4m2!3m1!1s0x89c25a33bac35885:0x7965862d4d6690cd,,
Kávé Espresso Bar,,https://www.google.com/maps/place/K%C3%A1v%C3%A9+Espresso+Bar/data=!4m2!3m1!1s0x89c25c03b6a01409:0xa436cae469e770e4,,
Sugafari Laden Berlin,,https://www.google.com/maps/place/Sugafari+Laden+Berlin/data=!4m2!3m1!1s0x47a85204633ef60d:0x4c8e752d1fdb6516,,
Salt'n Bone,,https://www.google.com/maps/place/Salt'n+Bone/data=!4m2!3m1!1s0x47a84dff75be1353:0x3429185b182d5897,,
Das Institut,,https://www.google.com/maps/place/Das+Institut/data=!4m2!3m1!1s0x47a853a58c170ce1:0x7721fe85fc6b8b37,,
Mrs Robinson’s,,https://www.google.com/maps/place/Mrs+Robinson%E2%80%99s/data=!4m2!3m1!1s0x47a8520094f1c457:0x4c4c5e0ed33bf0d2,,
Café Suicide Sue,,https://www.google.com/maps/place/Caf%C3%A9+Suicide+Sue/data=!4m2!3m1!1s0x47a84e0065275423:0x76472b9c0e1b62e1,,
Cookies & Co,,https://www.google.com/maps/place/Cookies+%26+Co/data=!4m2!3m1!1s0x47a84e00a2e76081:0xc6c37d97768375ea,,
Monterey Bar,,https://www.google.com/maps/place/Monterey+Bar/data=!4m2!3m1!1s0x47a84e00b89aaaab:0x7b96352bc70d3f0,,
Bubble Bauch -Tea Art Café,,https://www.google.com/maps/place/Bubble+Bauch+-Tea+Art+Caf%C3%A9/data=!4m2!3m1!1s0x47a84f09265f0ffd:0x578ba9571278377d,,
Renas Hus,,https://www.google.com/maps/place/Renas+Hus/data=!4m2!3m1!1s0x47a84e016be7bfe3:0xbbd444067679f599,,
Mazooka Store,,https://www.google.com/maps/place/Mazooka+Store/data=!4m2!3m1!1s0x47a851fc08cf127f:0xc8f57b9d2f3f7fcb,,
Künstlerbedarf Künstlermagazin,,https://www.google.com/maps/place/K%C3%BCnstlerbedarf+K%C3%BCnstlermagazin/data=!4m2!3m1!1s0x47a851fc0c3bdb87:0x71cd0815faa83b59,,
HEIDE's,,https://www.google.com/maps/place/HEIDE's/data=!4m2!3m1!1s0x47a84e03c4e1756b:0x5bab2516b56735eb,,
CK Café,,https://www.google.com/maps/place/CK+Caf%C3%A9/data=!4m2!3m1!1s0x47a84e041cdf1005:0x46e79b9f07907f36,,
Belfort Berlin,,https://www.google.com/maps/place/Belfort+Berlin/data=!4m2!3m1!1s0x47a84e036c2c07a7:0xba4d5b0fd05fb19c,,
Bassy Club,,https://www.google.com/maps/place/Bassy+Club/data=!4m2!3m1!1s0x47a851fd55d794b9:0xd91dc99989390c6e,,
TINMAN Berlin,,https://www.google.com/maps/place/TINMAN+Berlin/data=!4m2!3m1!1s0x47a851e266a0747b:0x7fa3ffb9096f6186,,
TYPE HYPE,,https://www.google.com/maps/place/TYPE+HYPE/data=!4m2!3m1!1s0x47a84e1e30643969:0xd2928605ad5d86fc,,
Makoto,,https://www.google.com/maps/place/Makoto/data=!4m2!3m1!1s0x47a851e2226a5c87:0xbb3111bedfca7501,,
PAPPA E CICCIA,,https://www.google.com/maps/place/PAPPA+E+CICCIA/data=!4m2!3m1!1s0x47a851fcf83ce8fb:0x1bf648477ca65dc5,,
"Nice, Wine and Pies",,"https://www.google.com/maps/place/Nice,+Wine+and+Pies/data=!4m2!3m1!1s0x47a851c01248ae43:0x2c3f4beca62456f",,
Kopps,,https://www.google.com/maps/place/Kopps/data=!4m2!3m1!1s0x47a851e5e9e5282d:0xf0621735e2b74b11,,
Kontor der guten Dinge,,https://www.google.com/maps/place/Kontor+der+guten+Dinge/data=!4m2!3m1!1s0x47a8519286fd7391:0xaf947554cbb50197,,
25books,,https://www.google.com/maps/place/25books/data=!4m2!3m1!1s0x47a851f08ad1c2c1:0x3857d8bb7b382da2,,
tak tak - polish deli,,https://www.google.com/maps/place/tak+tak+-+polish+deli/data=!4m2!3m1!1s0x47a851e4ef9f190b:0xae739159dc293e56,,
WASSER,,https://www.google.com/maps/place/WASSER/data=!4m2!3m1!1s0x47a851e6ee97b12d:0x139182ac89394158,,
