Title,Note,URL,Tags,Comment
,,,,
Riga Smash Burger,,https://www.google.com/maps/place/Riga+Smash+Burger/data=!4m2!3m1!1s0x46eecfea47f757f3:0xfb599d838f9e7e5c,,
Cadets de Gascogne,,https://www.google.com/maps/place/Cadets+de+Gascogne/data=!4m2!3m1!1s0x46eecfcce099d97d:0xc1fec4113a9c20a7,,
Vita’s Vigan Cakes Studio,,https://www.google.com/maps/place/Vita%E2%80%99s+Vigan+Cakes+Studio/data=!4m2!3m1!1s0x46eecfe500ceae4f:0xd551765e5130ac8e,,
Raunas Dārzs Eklērnīca,,https://www.google.com/maps/place/Raunas+D%C4%81rzs+Ekl%C4%93rn%C4%ABca/data=!4m2!3m1!1s0x46eece5b86732223:0xfa0be0f4d381ad5b,,
MUNCH BBQ,,https://www.google.com/maps/place/MUNCH+BBQ/data=!4m2!3m1!1s0x46eecf7dab57d84f:0x4be97aa72f4e6276,,
FERMA,,https://www.google.com/maps/place/FERMA/data=!4m2!3m1!1s0x46eecfc3ddd8c139:0x51980b3b2f416105,,
Shōyu,,https://www.google.com/maps/place/Sh%C5%8Dyu/data=!4m2!3m1!1s0x46eecf3a22391929:0x9fc85092f2572f85,,
Blend,,https://www.google.com/maps/place/Blend/data=!4m2!3m1!1s0x46eecf930256b199:0x14f47cd6afc44aaf,,
The Catch,,https://www.google.com/maps/place/The+Catch/data=!4m2!3m1!1s0x46eecfcf656950f7:0x9f6025829b20d70e,,
Ze Donats,,https://www.google.com/maps/place/Ze+Donats/data=!4m2!3m1!1s0x46eecfcefdeb29ab:0x965c957a916b7c47,,
FAB cafe Riga,,https://www.google.com/maps/place/FAB+cafe+Riga/data=!4m2!3m1!1s0x46eed1794ac9ba0b:0x26cf073bf0d29554,,
Kalnciema kvartāls,,https://www.google.com/maps/place/Kalnciema+kvart%C4%81ls/data=!4m2!3m1!1s0x46eed01977cf7b8d:0x7f3ac069b0769984,,
Skyline bar,,https://www.google.com/maps/place/Skyline+bar/data=!4m2!3m1!1s0x46eecfce08a4f14f:0xd7b3b26988aad881,,
Ģertrūdes iela 103,Airbnb,https://www.google.com/maps/place/%C4%A2ertr%C5%ABdes+iela+103/data=!4m2!3m1!1s0x46eece2e1fcea485:0xfe09f776e371f6c3,,
ONE ONE,,https://www.google.com/maps/place/ONE+ONE/data=!4m2!3m1!1s0x46eecfb5db54eee1:0x58f06585e1679a03,,
Labietis,,https://www.google.com/maps/place/Labietis/data=!4m2!3m1!1s0x46eecfb5c59934cb:0x7702ab9be7368bf8,,
Rocket Bean Roastery,,https://www.google.com/maps/place/Rocket+Bean+Roastery/data=!4m2!3m1!1s0x46eecfb59a301d55:0xaa6874c5e157fe90,,
Tallinas Pagalms,,https://www.google.com/maps/place/Tallinas+Pagalms/data=!4m2!3m1!1s0x46eecf34082fed55:0xedfef9402b4f945f,,
ZAKUSKA,,https://www.google.com/maps/place/ZAKUSKA/data=!4m2!3m1!1s0x46eecf465433509f:0x8332374a3615a6f8,,
"Pie Gabriēla, Restorāns",,"https://www.google.com/maps/place/Pie+Gabri%C4%93la,+Restor%C4%81ns/data=!4m2!3m1!1s0x46eece397c7a4d73:0x4afb31649991ad8f",,
"Centrale 33, kafejnīca",,"https://www.google.com/maps/place/Centrale+33,+kafejn%C4%ABca/data=!4m2!3m1!1s0x46eecf2b7a030ac5:0x881826196f95b168",,
Nurme Brewery & Taproom,,https://www.google.com/maps/place/Nurme+Brewery+%26+Taproom/data=!4m2!3m1!1s0x46eecf66376c6c67:0x14231087423c29f0,,
