Title,Note,URL,Tags,Comment
,,,,
Thorpe Park,,https://www.google.com/maps/place/Thorpe+Park/data=!4m2!3m1!1s0x48767778e8450561:0x72f8e255f2176e29,,
Berliner Wintertraum,,https://www.google.com/maps/place/Berliner+Wintertraum/data=!4m2!3m1!1s0x47a84f007b9d058f:0x421678ad7d76e005,,
Karls Erlebnis-Dorf - Elstal,,https://www.google.com/maps/place/Karls+Erlebnis-Dorf+-+Elstal/data=!4m2!3m1!1s0x47a8fa45377f5655:0x7a3781a861fc3f77,,
Lichtenberger Winterzeit 2024,,https://www.google.com/maps/place/Lichtenberger+Winterzeit+2024/data=!4m2!3m1!1s0x47a84f9412ea0187:0x58b1fe66579f26dc,,
Miramar,,https://www.google.com/maps/place/Miramar/data=!4m2!3m1!1s0x4797dad491dc2649:0xb9609b5a01ebfcc4,,
Festpark am Teltowkanal,,https://www.google.com/maps/place/Festpark+am+Teltowkanal/data=!4m2!3m1!1s0x47a85b24596c2bf3:0xea3a12b3db1f6bc9,,
Inselsberg Funpark,,https://www.google.com/maps/place/Inselsberg+Funpark/data=!4m2!3m1!1s0x47a37e5c9adb3557:0xf7716a6b077e6c4c,,
Plopsaland De Panne,,https://www.google.com/maps/place/Plopsaland+De+Panne/data=!4m2!3m1!1s0x47dc968e2ef8e015:0x3ff9420c3c14e945,,
Kolmården Zoo,,https://www.google.com/maps/place/Kolm%C3%A5rden+Zoo/data=!4m2!3m1!1s0x46592ec1eb5b1fe9:0x639fdd3925456815,,
Linnanmäki,,https://www.google.com/maps/place/Linnanm%C3%A4ki/data=!4m2!3m1!1s0x469209874401d469:0x5992a2a22448083a,,
Legendia Silesian Amusement Park,,https://www.google.com/maps/place/Legendia+Silesian+Amusement+Park/data=!4m2!3m1!1s0x4716ce0f48a21cdf:0x9a1d44a3699fdcc9,,
PortAventura World,,https://www.google.com/maps/place/PortAventura+World/data=!4m2!3m1!1s0x12a159e61d964f11:0x545aab951bd2a8d0,,
Walibi Holland,,https://www.google.com/maps/place/Walibi+Holland/data=!4m2!3m1!1s0x47c7d318ca807bbf:0xd1104187b7b2cf6f,,
Efteling,,https://www.google.com/maps/place/Efteling/data=!4m2!3m1!1s0x47c696a9aff44307:0x443bdab1ed5cb89a,,
Allgäu Skyline Park,,https://www.google.com/maps/place/Allg%C3%A4u+Skyline+Park/data=!4m2!3m1!1s0x479c103eb2e2348b:0xe91725a31c4f38ec,,
Belantis,,https://www.google.com/maps/place/Belantis/data=!4m2!3m1!1s0x47a658c795f65d89:0xe080217d017f2766,,
"Holiday Park, Germany",,"https://www.google.com/maps/place/Holiday+Park,+Germany/data=!4m2!3m1!1s0x47964a4826468f6d:0x92babcf3e1ef6e8e",,
Erlebnispark Tripsdrill,,https://www.google.com/maps/place/Erlebnispark+Tripsdrill/data=!4m2!3m1!1s0x479780714177d3e7:0x70048d07d78e767f,,
Hansa-Park,,https://www.google.com/maps/place/Hansa-Park/data=!4m2!3m1!1s0x47b276dda360d7fb:0xdb32bb6997363788,,
Movie Park Germany,,https://www.google.com/maps/place/Movie+Park+Germany/data=!4m2!3m1!1s0x47b8ee6c8e10b0df:0x8c497b69575062ae,,
Legoland Deutschland Resort,,https://www.google.com/maps/place/Legoland+Deutschland+Resort/data=!4m2!3m1!1s0x47994fff3af9392f:0xc97c021a52eba2ca,,
Europa-Park,,https://www.google.com/maps/place/Europa-Park/data=!4m2!3m1!1s0x4791398732e35ed9:0x14b73404fff2ada0,,
Heide Park Resort,,https://www.google.com/maps/place/Heide+Park+Resort/data=!4m2!3m1!1s0x47b1b480c0df2b9b:0x7f372d059a3a56c7,,
Filmpark Babelsberg,,https://www.google.com/maps/place/Filmpark+Babelsberg/data=!4m2!3m1!1s0x47a85f4405ba9677:0x398ce8a4909686c0,,
