Title,Note,URL,Tags,Comment
,,,,
G.O.D (Genius.On.Dr*gs),bartender from 12x12 recommended this,https://www.google.com/maps/place/G.O.D+(Genius.On.Dr*gs)/data=!4m2!3m1!1s0x30e299e33ac88163:0xd8907a8ee3f967f1,,
Ku Bar,,https://www.google.com/maps/place/Ku+Bar/data=!4m2!3m1!1s0x30e2996b2c24b1d5:0x7e4a17dd335022cb,,
Honest Mistake Bar,jake valianes youtube,https://www.google.com/maps/place/Honest+Mistake+Bar/data=!4m2!3m1!1s0x30e29d8a833f1bbd:0x366401424acd3d51,,
Teens of Thailand,sam and victor youtube,https://www.google.com/maps/place/Teens+of+Thailand/data=!4m2!3m1!1s0x30e29926be6c2047:0x1284b4ea344fbf8f,,
Asia Today Bar,jake valianes youtube,https://www.google.com/maps/place/Asia+Today+Bar/data=!4m2!3m1!1s0x30e299237dfef3ed:0x970af6b8597b0e00,,
The Key Room No. 72,jake valianes youtube,https://www.google.com/maps/place/The+Key+Room+No.+72/data=!4m2!3m1!1s0x30e29d24fcc9a429:0xedba8a1bc39138cc,,
Goja,bar tender from 12x12 recommended it,https://www.google.com/maps/place/Goja/data=!4m2!3m1!1s0x30e29fb929646a1f:0xdfb0b272d63e7b2e,,
008 Bar,jake valianes youtube,https://www.google.com/maps/place/008+Bar/data=!4m2!3m1!1s0x30e29fec61ec1e33:0x7af62fc98a2d2e32,,
#FindTheLockerRoom,jake valianes youtube,https://www.google.com/maps/place/%23FindTheLockerRoom/data=!4m2!3m1!1s0x30e29fad510c3839:0x4e93ede84d6e6369,,
Rabbit Hole,jake valianes youtube,https://www.google.com/maps/place/Rabbit+Hole/data=!4m2!3m1!1s0x30e29fac88ea8ebf:0xfeae82a8794f9ecb,,
Bar Kaguya,hannah clarke sent this,https://www.google.com/maps/place/Bar+Kaguya/data=!4m2!3m1!1s0x30e29fd4d60f8da1:0xe6f30f7f13ae846f,,
PIN Bar,,https://www.google.com/maps/place/PIN+Bar/data=!4m2!3m1!1s0x30e29f19a8920bb5:0x22b3d8c75453ea04,,
Alonetogether Bar Bangkok,,https://www.google.com/maps/place/Alonetogether+Bar+Bangkok/data=!4m2!3m1!1s0x30e29fb884e0944f:0x433da587a874aac1,,
Tropic City,jake valianes youtube,https://www.google.com/maps/place/Tropic+City/data=!4m2!3m1!1s0x30e298d975b1c04d:0x62c1b05b338dd8e9,,
Clutch,domi sent me this,https://www.google.com/maps/place/Clutch/data=!4m2!3m1!1s0x30e2996061833be7:0x8c406dae33623143,,
The Bamboo Bar,jake valianes youtube,https://www.google.com/maps/place/The+Bamboo+Bar/data=!4m2!3m1!1s0x30e298c4c9004417:0xc0afb508bf787bbf,,
Stella,jake valianes youtube,https://www.google.com/maps/place/Stella/data=!4m2!3m1!1s0x30e29927f823b5cf:0x5efc567ac4e10689,,
BKK Social Club,sam and victor youtube. also worlds best bars,https://www.google.com/maps/place/BKK+Social+Club/data=!4m2!3m1!1s0x30e2998aef61092f:0x4eb46aae18ea907d,,
Vesper,jake valianes youtube,https://www.google.com/maps/place/Vesper/data=!4m2!3m1!1s0x30e29f2c415e8937:0x278e9188402d6d1c,,
Mahaniyom Cocktail Bar,world's best bars,https://www.google.com/maps/place/Mahaniyom+Cocktail+Bar/data=!4m2!3m1!1s0x30e299fb862cf169:0x59d046686de36a48,,
Mod Kaew Wine Bar,hannah clarke sent this,https://www.google.com/maps/place/Mod+Kaew+Wine+Bar/data=!4m2!3m1!1s0x30e29f4745efb4bf:0xf2d7170b9e472797,,
Elsewhere,german guy from 12x12,https://www.google.com/maps/place/Elsewhere/data=!4m2!3m1!1s0x30e29f005b10c2a1:0x303846f9ebc6845f,,
GOT Bangkok,The guy at mutual bar recommended this club to me,https://www.google.com/maps/place/GOT+Bangkok/data=!4m2!3m1!1s0x30e29f0076c25ce9:0xfbf50add27c0cb91,,
"Sugar Ray, You've Just Been Poisoned",jake valianes youtube,"https://www.google.com/maps/place/Sugar+Ray,+You've+Just+Been+Poisoned/data=!4m2!3m1!1s0x30e29e4f6573b7c9:0x949bc359fefed9e4",,
Bar Us,world's best bars,https://www.google.com/maps/place/Bar+Us/data=!4m2!3m1!1s0x30e29f42651a941b:0x805f1bf36d866f32,,
Funkytown (F*nkytown),hannah clarke sent this,https://www.google.com/maps/place/Funkytown+(F*nkytown)/data=!4m2!3m1!1s0x30e29f7f6d3d5289:0x6a3f984d9d202022,,
Tichuca Rooftop Bar,youtube sam and victor,https://www.google.com/maps/place/Tichuca+Rooftop+Bar/data=!4m2!3m1!1s0x30e29f14cf2c763d:0x2bfed307b9e5a4be,,
