Title,Note,URL,Tags,Comment
,,,,
965bkk,lifestyleasiath ig,https://www.google.com/maps/place/965bkk/data=!4m2!3m1!1s0x30e299cc7a7827cf:0xb29d61933a64398c,,
EmSphere,absolutely insane shopping center. not cheap at all. great food court.,https://www.google.com/maps/place/EmSphere/data=!4m2!3m1!1s0x30e29ff5758b5139:0x40e4e1d1d4e46bc1,,
Nailfie Always ขายส่งอุปกรณ์ทำเล็บต่อขนตา ถูก/ใหญ่ที่สุดในเอเชีย,went here to get supplies for jenni,https://www.google.com/maps/place/Nailfie+Always+%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%97%E0%B8%B3%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%9A%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%82%E0%B8%99%E0%B8%95%E0%B8%B2+%E0%B8%96%E0%B8%B9%E0%B8%81%2F%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AA%E0%B8%B8%E0%B8%94%E0%B9%83%E0%B8%99%E0%B9%80%E0%B8%AD%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2/data=!4m2!3m1!1s0x30e29927b9f66db5:0x70016de51dd13e84,,
Daddy and the Muscle Academy,funny/cute chain with little cute gift stuff,https://www.google.com/maps/place/Daddy+and+the+Muscle+Academy/data=!4m2!3m1!1s0x30e29ed2ed77e78f:0x82d2fb0a30ce1b54,,
MBK CENTER,cheap shopping mall. can buy fake stuff here,https://www.google.com/maps/place/MBK+CENTER/data=!4m2!3m1!1s0x30e29f93237736ed:0x405eb31f977656de,,
Chatuchak Weekend Market,,https://www.google.com/maps/place/Chatuchak+Weekend+Market/data=!4m2!3m1!1s0x30e29c14e883f8dd:0x91f191d784b87d4b,,
"Tajimaya (Thailand) Co., Ltd",,"https://www.google.com/maps/place/Tajimaya+(Thailand)+Co.,+Ltd/data=!4m2!3m1!1s0x30e29ef848c2b055:0x8e0d8ca4871922a0",,
Platinum Fashion Mall,cheap shopping mall,https://www.google.com/maps/place/Platinum+Fashion+Mall/data=!4m2!3m1!1s0x30e29ecf3f7d7a67:0x33a8397a3fc06439,,
Pratunam Market,,https://www.google.com/maps/place/Pratunam+Market/data=!4m2!3m1!1s0x30e29fe8aa855c75:0xf3f07635511f7f1a,,
DD Mall,,https://www.google.com/maps/place/DD+Mall/data=!4m2!3m1!1s0x30e29c1443c28043:0xf2a01ffc2ca9f9ba,,
Bang Sue Junction Shopping Center,abbey said it has so much brandon stuff,https://www.google.com/maps/place/Bang+Sue+Junction+Shopping+Center/data=!4m2!3m1!1s0x30e29c14e4b9b83b:0x5e06354c8e355aee,,
GENTLEWOMAN Flagship Store Siam Square,sam and victor youtube,https://www.google.com/maps/place/GENTLEWOMAN+Flagship+Store+Siam+Square/data=!4m2!3m1!1s0x30e29f9a8f372c7b:0x1d8a7a128e9c3f25,,
