Title,Note,URL,Tags,Comment
,,,,
Supalife Kiosk,,https://www.google.com/maps/place/Supalife+Kiosk/data=!4m2!3m1!1s0x47a85200689ded23:0x53f0399f622f657,,
Tchoban Foundation - Museum of architectural drawing,,https://www.google.com/maps/place/Tchoban+Foundation+-+Museum+of+architectural+drawing/data=!4m2!3m1!1s0x47a851fd39c3168d:0xfdf0be3db5808c36,,
Neurotitan Shop & Gallery,,https://www.google.com/maps/place/Neurotitan+Shop+%26+Gallery/data=!4m2!3m1!1s0x47a851e0e04630ab:0x4ab73ad34259e931,,
Sophiensaele,kelly went to the bird dance performance here. website looks cool,https://www.google.com/maps/place/Sophiensaele/data=!4m2!3m1!1s0x47a851e6caffcbaf:0xca41034c066dfa90,,
Print 3000 risograph - Branczyk & Haberstumpf GbR,,https://www.google.com/maps/place/Print+3000+risograph+-+Branczyk+%26+Haberstumpf+GbR/data=!4m2!3m1!1s0x47a851eff5538789:0xdab5e380b924bf3b,,
Sprüth Magers Gallery,,https://www.google.com/maps/place/Spr%C3%BCth+Magers+Gallery/data=!4m2!3m1!1s0x47a851e708db9b15:0x9898703c76674cb7,,
Fotografiska Berlin,,https://www.google.com/maps/place/Fotografiska+Berlin/data=!4m2!3m1!1s0x47a851a64d40b6d3:0x8cd9931eb174f487,,
Wilhelm Hallen,pascal recommended this to me,https://www.google.com/maps/place/Wilhelm+Hallen/data=!4m2!3m1!1s0x47a85335952e1ea5:0x47b4e728f1feed7e,,
New National Gallery,,https://www.google.com/maps/place/New+National+Gallery/data=!4m2!3m1!1s0x47a851b5760b923f:0xc1eab9af9466dfdc,,
Buchstabenmuseum,,https://www.google.com/maps/place/Buchstabenmuseum/data=!4m2!3m1!1s0x47a84e3cb52e6d59:0x8a534d5e671daf8c,,
House of World Cultures,,https://www.google.com/maps/place/House+of+World+Cultures/data=!4m2!3m1!1s0x47a851bbaf71ef5b:0x473c447a17a9fa69,,
Werkbundarchiv – museum of things,,https://www.google.com/maps/place/Werkbundarchiv+%E2%80%93+museum+of+things/data=!4m2!3m1!1s0x47a84e34797a6429:0xc1aed2ec17a9da71,,
SEXAUER Gallery,,https://www.google.com/maps/place/SEXAUER+Gallery/data=!4m2!3m1!1s0x47a84defeedc193d:0x5bd1c3b15bd2903b,,
Kulturmühle Perwenitz e.V.,,https://www.google.com/maps/place/Kulturm%C3%BChle+Perwenitz+e.V./data=!4m2!3m1!1s0x47a8fd6839fe1ff1:0xf803e0409c767cfa,,
Haus am Waldsee,,https://www.google.com/maps/place/Haus+am+Waldsee/data=!4m2!3m1!1s0x47a859863cf6e62d:0xc7160bd6b3692561,,
Brücke Museum,,https://www.google.com/maps/place/Br%C3%BCcke+Museum/data=!4m2!3m1!1s0x47a85a08dbc52639:0xadcb8c981fc4f9bb,,
Wentrup GmbH,,https://www.google.com/maps/place/Wentrup+GmbH/data=!4m2!3m1!1s0x47a8502deb2c9115:0xa01743ed43745fa1,,
Bauhaus Archive,,https://www.google.com/maps/place/Bauhaus+Archive/data=!4m2!3m1!1s0x47a851ad72058cf5:0x1d362cfd8273cd91,,
ZÖNOTÉKA,daniel from radicle’s workshop,https://www.google.com/maps/place/Z%C3%96NOT%C3%89KA/data=!4m2!3m1!1s0x47a84fb5df962809:0x6acb7100c0607f24,,
ZKR - Zentrum für Kunst und öffentlichen Raum,,https://www.google.com/maps/place/ZKR+-+Zentrum+f%C3%BCr+Kunst+und+%C3%B6ffentlichen+Raum/data=!4m2!3m1!1s0x47a84969f1e3dcfb:0xb3747d9d8e8658a8,,
Cank,,https://www.google.com/maps/place/Cank/data=!4m2!3m1!1s0x47a84f0075e2c1a3:0x5b87be01a9a7fca5,,
KINDL - Zentrum für zeitgenössische Kunst,,https://www.google.com/maps/place/KINDL+-+Zentrum+f%C3%BCr+zeitgen%C3%B6ssische+Kunst/data=!4m2!3m1!1s0x47a84fbcc126c7f7:0xd54fd507a54f599f,,
KUNSTFABRIK HB55,,https://www.google.com/maps/place/KUNSTFABRIK+HB55/data=!4m2!3m1!1s0x47a84e9928ade329:0xa58102d121494b93,,
Villa Heike,,https://www.google.com/maps/place/Villa+Heike/data=!4m2!3m1!1s0x47a84c2528c8f1a5:0xeb56f9a6cf37b34b,,
