Title,Note,URL,Tags,Comment
,,,,
Wilder als erwartet,doing our birthday here I guess,https://www.google.com/maps/place/Wilder+als+erwartet/data=!4m2!3m1!1s0x47a851286e7665f9:0xa500cf25e65d0da1,,
Sheriff Teddy Bar,Christian(?) who I met at Umsteiger works there,https://www.google.com/maps/place/Sheriff+Teddy+Bar/data=!4m2!3m1!1s0x47a84e5f7bccd7d5:0x71febb8bc1350a68,,
Der kleine August,,https://www.google.com/maps/place/Der+kleine+August/data=!4m2!3m1!1s0x47a851aecd4b269f:0xf6c6de3ecdc58369,,
Vinotopia,courtney,https://www.google.com/maps/place/Vinotopia/data=!4m2!3m1!1s0x47a84ff20d184ecf:0x166fe6a225a52bc7,,
Zacharias.Tagesbar,,https://www.google.com/maps/place/Zacharias.Tagesbar/data=!4m2!3m1!1s0x47a8511cfce9a687:0x8586562bec6789a8,,
Bar Franzotti,john did go here once and said it was great,https://www.google.com/maps/place/Bar+Franzotti/data=!4m2!3m1!1s0x47a85025de0d7e79:0xbe5a7fa78020d28a,,
treppe,,https://www.google.com/maps/place/treppe/data=!4m2!3m1!1s0x47a84fa652f38c0f:0xc72510f7268b8464,,
Gaststätte W. Prassnik,instagram,https://www.google.com/maps/place/Gastst%C3%A4tte+W.+Prassnik/data=!4m2!3m1!1s0x47a851e2f7bb18b5:0xb9184288b92b1fca,,
Nomi,Ben Wruck mentioned going there on 27 july,https://www.google.com/maps/place/Nomi/data=!4m2!3m1!1s0x47a84f5803224095:0x659f894bf4ae6a6a,,
Bagatelle,,https://www.google.com/maps/place/Bagatelle/data=!4m2!3m1!1s0x47a84e8acb66a48d:0x961cbc24399cd8b6,,
Höschen,courtney and becca made out with the bartenders here,https://www.google.com/maps/place/H%C3%B6schen/data=!4m2!3m1!1s0x0:0xdd82ad4eb1c5572e,,
Blanc de Fuck - NATURAL WINE BAR,john said it's good,https://www.google.com/maps/place/Blanc+de+Fuck+-+NATURAL+WINE+BAR/data=!4m2!3m1!1s0x47a84f9c638d440d:0x20ffb2ee1b87b1bc,,
Studio1111,Dani gave us free tickets to this place he said it’s cool,https://www.google.com/maps/place/Studio1111/data=!4m2!3m1!1s0x47a851fbf8efe541:0x47b333fe6832a06c,,
Lenau-Stuben,,https://www.google.com/maps/place/Lenau-Stuben/data=!4m2!3m1!1s0x47a84fb6676027c7:0x5368835e9def0ff3,,
Golgatha Biergarten,,https://www.google.com/maps/place/Golgatha+Biergarten/data=!4m2!3m1!1s0x47a850247c29c633:0x1c09cb14d10762b7,,
Jane & the Jam,,https://www.google.com/maps/place/Jane+%26+the+Jam/data=!4m2!3m1!1s0x47a8510073b9d20b:0xc281cd6bc4896898,,
Bar Zum schmutzigen Hobby,,https://www.google.com/maps/place/Bar+Zum+schmutzigen+Hobby/data=!4m2!3m1!1s0x47a84e5bcde2c609:0x851888c9a5b5e875,,
Rhinoçéros,,https://www.google.com/maps/place/Rhino%C3%A7%C3%A9ros/data=!4m2!3m1!1s0x47a84dfb9355203f:0xa936c63543ce05c5,,
Manifest Taproom,Humble pie did a pop up here,https://www.google.com/maps/place/Manifest+Taproom/data=!4m2!3m1!1s0x47a851e5456443b1:0xc2b37183a9849735,,
Pluto,Ceecee,https://www.google.com/maps/place/Pluto/data=!4m2!3m1!1s0x47a851672185dded:0xb1f19c642709fadd,,
Sorsi e Morsi,,https://www.google.com/maps/place/Sorsi+e+Morsi/data=!4m2!3m1!1s0x47a84e04324686bd:0x73350516cc04c838,,
Le Flâneur - specialties from France,,https://www.google.com/maps/place/Le+Fl%C3%A2neur+-+specialties+from+France/data=!4m2!3m1!1s0x47a84e057d4809b1:0x691afea363dd1184,,
8MM,,https://www.google.com/maps/place/8MM/data=!4m2!3m1!1s0x47a851e2aac77ca1:0xa60547d856e96adf,,
Betty F Bar,,https://www.google.com/maps/place/Betty+F+Bar/data=!4m2!3m1!1s0x47a851cc4963562f:0x4beb5cb895777dc6,,
Köh Billards,,https://www.google.com/maps/place/K%C3%B6h+Billards/data=!4m2!3m1!1s0x47a851e1311d717b:0x7f93835f8dc6dbe6,,
Eschschloraque,,https://www.google.com/maps/place/Eschschloraque/data=!4m2!3m1!1s0x47a851e115ac40cb:0x1a622acaabf30e84,,
Kilkenny Irish Pub,,https://www.google.com/maps/place/Kilkenny+Irish+Pub/data=!4m2!3m1!1s0x47a851e09519cab3:0x93da205ae59417b0,,
TheCoven Bar,Dilan wants to go here,https://www.google.com/maps/place/TheCoven+Bar/data=!4m2!3m1!1s0x47a851e0b3dbcfb5:0x44af4a0ac695a5c7,,
Bar Milano,,https://www.google.com/maps/place/Bar+Milano/data=!4m2!3m1!1s0x47a851e51ffe5293:0x97b4caad4317d446,,
the wash bar,Jenni,https://www.google.com/maps/place/the+wash+bar/data=!4m2!3m1!1s0x47a851b3600c152b:0x3902b1434eca835f,,
Hackbarth’s,jenni was recommended this by an american's reel on instagram,https://www.google.com/maps/place/Hackbarth%E2%80%99s/data=!4m2!3m1!1s0x47a851e419f4bc75:0xbcd0e661cef80855,,
Mr. Susan,,https://www.google.com/maps/place/Mr.+Susan/data=!4m2!3m1!1s0x47a8517b98e06395:0x84f54b684c2e5a0a,,
Phantom Bar,,https://www.google.com/maps/place/Phantom+Bar/data=!4m2!3m1!1s0x47a85100114c26b9:0x5e37cef21dbee5f6,,
Georgia Bar,Alex works here,https://www.google.com/maps/place/Georgia+Bar/data=!4m2!3m1!1s0x47a85120288b003d:0xa8707d0c191188d2,,
Zenner Biergarten und Weingarten,,https://www.google.com/maps/place/Zenner+Biergarten+und+Weingarten/data=!4m2!3m1!1s0x47a84f28cb26585f:0x22e0cf0e8c2fd88d,,
Freundschaft,,https://www.google.com/maps/place/Freundschaft/data=!4m2!3m1!1s0x47a8513abb9de725:0x2dd0b9ac899254a5,,
Berliner Berg Brauerei,,https://www.google.com/maps/place/Berliner+Berg+Brauerei/data=!4m2!3m1!1s0x47a84fa2be32ca0b:0x8b3aa2356dfa2126,,
THE KNAST Cocktail Bar,jenni found on insta,https://www.google.com/maps/place/THE+KNAST+Cocktail+Bar/data=!4m2!3m1!1s0x47a85b1ae3e1b117:0x6e6aee17e7bfd246,,
800A Bar & Cabaret,berlin strippers collective wrestling was here. aaron told me about it,https://www.google.com/maps/place/800A+Bar+%26+Cabaret/data=!4m2!3m1!1s0x47a8522304c48d5b:0x125cff2be0c4ac3a,,
OFFSIDE Pub & Whisky Bar,john wants to go here,https://www.google.com/maps/place/OFFSIDE+Pub+%26+Whisky+Bar/data=!4m2!3m1!1s0x47a8522282a4a499:0xe2be7af0a8822030,,
Soldiner Eck,claudia was here with marie,https://www.google.com/maps/place/Soldiner+Eck/data=!4m2!3m1!1s0x47a85331554317c7:0x31588fbc4557e342,,
Kleine Bar,,https://www.google.com/maps/place/Kleine+Bar/data=!4m2!3m1!1s0x47a851899eddf85f:0xb7a6fdb1f9684bff,,
Bata Bar & Billiards am Hauptbahnhof,,https://www.google.com/maps/place/Bata+Bar+%26+Billiards+am+Hauptbahnhof/data=!4m2!3m1!1s0x47a85197382c5729:0x76d470cd851757ee,,
Gravity Bar,,https://www.google.com/maps/place/Gravity+Bar/data=!4m2!3m1!1s0x47a8514de16acc69:0x6e840c67b7d75db1,,
Bellboy Restaurant Berlin,disco ball bathroom,https://www.google.com/maps/place/Bellboy+Restaurant+Berlin/data=!4m2!3m1!1s0x47a851401e1ebdd1:0x712ae32088d0c51c,,
Lamm,Jenni sent me on insta. till has been here too (he posted on insta),https://www.google.com/maps/place/Lamm/data=!4m2!3m1!1s0x47a853dc349e6cad:0x3c0e8a1e7b1849fb,,
Bar Panorama Berlin,,https://www.google.com/maps/place/Bar+Panorama+Berlin/data=!4m2!3m1!1s0x47a850e7c2bd39f7:0x694917e53c3cbbb7,,
goldesel,morgan said it’s good and cozy,https://www.google.com/maps/place/goldesel/data=!4m2!3m1!1s0x47a8512884fc47fb:0x8d698f019cfe4b41,,
UNION JACK The Whisky Pub,was on kitchen impossible,https://www.google.com/maps/place/UNION+JACK+The+Whisky+Pub/data=!4m2!3m1!1s0x47a850e23f073401:0x591b56ced6a3ba60,,
Bar Zentral,,https://www.google.com/maps/place/Bar+Zentral/data=!4m2!3m1!1s0x47a850fc28ffbc63:0x2bb363c2ecfd957a,,
Tramp's,,https://www.google.com/maps/place/Tramp's/data=!4m2!3m1!1s0x47a85051d94ac1c3:0xc7b5d69b02d3dca5,,
Stagger Lee,,https://www.google.com/maps/place/Stagger+Lee/data=!4m2!3m1!1s0x47a8504fb280a8cd:0xad591771c3a0c257,,
Green Door Bar,,https://www.google.com/maps/place/Green+Door+Bar/data=!4m2!3m1!1s0x47a8504f016a78e5:0x791f891cc687af5b,,
FABELEI Cocktailbar,cee cee newsletter,https://www.google.com/maps/place/FABELEI+Cocktailbar/data=!4m2!3m1!1s0x47a85184f951ddad:0xef5be3c6c2647bc,,
Bonvivant Cocktail Bistro,,https://www.google.com/maps/place/Bonvivant+Cocktail+Bistro/data=!4m2!3m1!1s0x47a8516b282676cd:0xef0cc41c51f27855,,
E. & M. Leydicke,super old 140 year old kneipe,https://www.google.com/maps/place/E.+%26+M.+Leydicke/data=!4m2!3m1!1s0x47a85039d1a48e23:0xfce8b1aca8617b9b,,
Kumpelnest 3000,,https://www.google.com/maps/place/Kumpelnest+3000/data=!4m2!3m1!1s0x47a8504aa356f261:0x89cdb49d0f6be683,,
Victoria Bar,were here with thorsten & lisa,https://www.google.com/maps/place/Victoria+Bar/data=!4m2!3m1!1s0x47a8504a5f694d1f:0x1b0f1f37e3c36557,,
The Gibson Bar Berlin,just got an Instagram ad for this place and it looks amazing. They have two euro oysters for happy hour.,https://www.google.com/maps/place/The+Gibson+Bar+Berlin/data=!4m2!3m1!1s0x47a851cf18c6a453:0xc8489cb4d6d1358a,,
Rum Trader,,https://www.google.com/maps/place/Rum+Trader/data=!4m2!3m1!1s0x47a850f9fa25f59f:0x256dfc2a0e352a19,,
Queens,looked cool drove by in the middle of the night,https://www.google.com/maps/place/Queens/data=!4m2!3m1!1s0x47a8506984dfd2f5:0x4d41de115e89c333,,
RosinenBAR THF,,https://www.google.com/maps/place/RosinenBAR+THF/data=!4m2!3m1!1s0x47a851d14b897293:0x3a0fbb3824c33a17,,
The Forsberg,,https://www.google.com/maps/place/The+Forsberg/data=!4m2!3m1!1s0x47a851887cd46d05:0x24e5420f93b97cf3,,
"migas, a listening bar",rudolfs recommended it,"https://www.google.com/maps/place/migas,+a+listening+bar/data=!4m2!3m1!1s0x47a8510131a36dad:0xba90f4afdebd3852",,
Dujardin,,https://www.google.com/maps/place/Dujardin/data=!4m2!3m1!1s0x47a85228b8d921eb:0xe7b929397af75b3e,,
Jatz Bar,,https://www.google.com/maps/place/Jatz+Bar/data=!4m2!3m1!1s0x47a852290b5bb3e1:0xc0a2526a393ef2c5,,
Brüsseler Tor,,https://www.google.com/maps/place/Br%C3%BCsseler+Tor/data=!4m2!3m1!1s0x47a8517c3a0cada1:0x320d45d325a7acdd,,
BAR BAUTROCKNER,Recommended von julian und morgan. ist cool?,https://www.google.com/maps/place/BAR+BAUTROCKNER/data=!4m2!3m1!1s0x47a84f79516364ad:0xe3134b869766bd6c,,
YSY,morgan shared it in the group,https://www.google.com/maps/place/YSY/data=!4m2!3m1!1s0x47a84fe8f2db8a47:0x5412cdde4f4405eb,,
booze bar berlin,,https://www.google.com/maps/place/booze+bar+berlin/data=!4m2!3m1!1s0x47a84e5e60959513:0x423d005db0c768b8,,
Maaya Berlin,,https://www.google.com/maps/place/Maaya+Berlin/data=!4m2!3m1!1s0x47a84e5a312be415:0x2a855ef67ad54f56,,
Stück,2 for 1 tuesdays. used to be a legendary queer bar. now it's a fancy cocktail bar :/ bust still wanna try it lol,https://www.google.com/maps/place/St%C3%BCck/data=!4m2!3m1!1s0x47a84fe9a21aa299:0x410a83323cba8776,,
Natural Selection Berlin,was in the drips guide to berlin,https://www.google.com/maps/place/Natural+Selection+Berlin/data=!4m2!3m1!1s0x47a84f562013c6e1:0x719d952b1f59ee2a,,
It's a Bar,,https://www.google.com/maps/place/It's+a+Bar/data=!4m2!3m1!1s0x47a84e4b1e55c2f3:0x3e1fd2fdd345bcae,,
Bar Neiro,guy from wax on recommended it. also they have “all day” the drink from matt and kat olivia’s friends,https://www.google.com/maps/place/Bar+Neiro/data=!4m2!3m1!1s0x47a84fdeeeb0e595:0x5a98a25a918f7da3,,
The Brooklyn,,https://www.google.com/maps/place/The+Brooklyn/data=!4m2!3m1!1s0x47a84e25a9bba487:0x27fa97f2a2c1a634,,
Monsieur Collard,,https://www.google.com/maps/place/Monsieur+Collard/data=!4m2!3m1!1s0x47a84e4a38c9e451:0x13e410b60c8bac1e,,
Club Triebwerk,,https://www.google.com/maps/place/Club+Triebwerk/data=!4m2!3m1!1s0x47a84fc82e1dcdc5:0xcc39760a75c9f146,,
Franken Bar,,https://www.google.com/maps/place/Franken+Bar/data=!4m2!3m1!1s0x47a84e34592b4d2d:0x31e35f4369a7c2a,,
Fegers,randomly saw it on google maps. looks ok,https://www.google.com/maps/place/Fegers/data=!4m2!3m1!1s0x47a84e3486ff9ef9:0x90e45bc2af29d632,,
Dresden in Kreuzberg,,https://www.google.com/maps/place/Dresden+in+Kreuzberg/data=!4m2!3m1!1s0x47a84e33ad14a1bf:0xed6c8359b15940c3,,
Kauz & Kiebitz,,https://www.google.com/maps/place/Kauz+%26+Kiebitz/data=!4m2!3m1!1s0x47a84fb6c74d4787:0x488ea2e9ae5ad00c,,
Mosto | Wines & Magazines,,https://www.google.com/maps/place/Mosto+%7C+Wines+%26+Magazines/data=!4m2!3m1!1s0x47a84fdf76af9db9:0x711fb18a3748fff5,,
Le Balto,,https://www.google.com/maps/place/Le+Balto/data=!4m2!3m1!1s0x47a84f6a2cac88f5:0x6ccd110c1ee5a49b,,
Silverfuture,"just found it on google, seems pretty cool",https://www.google.com/maps/place/Silverfuture/data=!4m2!3m1!1s0x47a84fb0da82f1e5:0xd8de4ac17519ff14,,
Thelonious Bar,,https://www.google.com/maps/place/Thelonious+Bar/data=!4m2!3m1!1s0x47a84fb0e7f0729f:0xe7cbfac921afcb81,,
Bar Weserkrug,,https://www.google.com/maps/place/Bar+Weserkrug/data=!4m2!3m1!1s0x47a84fa5be241bcb:0xac871567ec417571,,
Das Gift,,https://www.google.com/maps/place/Das+Gift/data=!4m2!3m1!1s0x47a84fbaec5ea50d:0x2975cac67d431dbb,,
Ä,,https://www.google.com/maps/place/%C3%84/data=!4m2!3m1!1s0x47a84fa67544adcf:0xfec7f005cd59bd65,,
Vier&Vierzig,,https://www.google.com/maps/place/Vier%26Vierzig/data=!4m2!3m1!1s0x47a84fa563935b2f:0x31a21b9fffdbd3ae,,
BAU - BAR AM UFER,,https://www.google.com/maps/place/BAU+-+BAR+AM+UFER/data=!4m2!3m1!1s0x47a84fdd475f26df:0xc443df21924d2484,,
Ringbar,,https://www.google.com/maps/place/Ringbar/data=!4m2!3m1!1s0x47a84fc9cbcabf23:0x3359087bf0bddae8,,
Zum Magendoktor,,https://www.google.com/maps/place/Zum+Magendoktor/data=!4m2!3m1!1s0x47a84f0b3e67f849:0xcecf64bf8c58e328,,
Drei Flaschen,,https://www.google.com/maps/place/Drei+Flaschen/data=!4m2!3m1!1s0x47a84fb93a856b69:0xe9fd072dda68ecae,,
CAFÉ NEUKÖLLN,,https://www.google.com/maps/place/CAF%C3%89+NEUK%C3%96LLN/data=!4m2!3m1!1s0x47a84fa0266f3d75:0x2e614aca8dfbd2a,,
