Title,Note,URL,Tags,Comment
,,,,
Pluto,,https://www.google.com/maps/place/Pluto/data=!4m2!3m1!1s0x47a851672185dded:0xb1f19c642709fadd,,
Ari’s,,https://www.google.com/maps/place/Ari%E2%80%99s/data=!4m2!3m1!1s0x47a84fdf32848ee3:0x7ed8dccec04fd8ee,,
Restaurant Dumplings Nian,,https://www.google.com/maps/place/Restaurant+Dumplings+Nian/data=!4m2!3m1!1s0x47a84f013831e9d5:0x9e14063253720120,,
KOKIO,,https://www.google.com/maps/place/KOKIO/data=!4m2!3m1!1s0x47a85190bbdd3397:0xfe7242b9044462ff,,
RESTAURANT COMEDOR,,https://www.google.com/maps/place/RESTAURANT+COMEDOR/data=!4m2!3m1!1s0x47a8510036c9f18f:0xd012ab8aec25d765,,
Kramer Restaurant,,https://www.google.com/maps/place/Kramer+Restaurant/data=!4m2!3m1!1s0x47a84f427e62f09f:0xe6bbb0ae9cd5e0b7,,
tulus lotrek,,https://www.google.com/maps/place/tulus+lotrek/data=!4m2!3m1!1s0x47a84fcf2fd89cf7:0x445ce4e36802297,,
onette,,https://www.google.com/maps/place/onette/data=!4m2!3m1!1s0x47a8510039e8bfed:0x3c672fd9e143659,,
REI Bar | Izakaya,,https://www.google.com/maps/place/REI+Bar+%7C+Izakaya/data=!4m2!3m1!1s0x47a84f11716b9965:0xe9941d18140210b8,,
Rodeo Vintage Berlin,,https://www.google.com/maps/place/Rodeo+Vintage+Berlin/data=!4m2!3m1!1s0x47a85399b8d4421d:0x278a4ef8fcdc3011,,
Teller Berlin,,https://www.google.com/maps/place/Teller+Berlin/data=!4m2!3m1!1s0x47a8534a6633a3e3:0x5be6e37df3985c59,,
Jembatan Gantung Lembah Purba,,https://www.google.com/maps/place/Jembatan+Gantung+Lembah+Purba/data=!4m2!3m1!1s0xa48d2971ef01bd65:0x3c6588f9c11e071f,,
Textile Center Building,,https://www.google.com/maps/place/Textile+Center+Building/data=!4m2!3m1!1s0x80c2c63497fc5889:0x4adc2bf0ac34bc4c,,
Brenda's French Soul Food,,https://www.google.com/maps/place/Brenda's+French+Soul+Food/data=!4m2!3m1!1s0x808580974839db67:0xa78fa85ec6c57d21,,
Lou Mitchell's,,https://www.google.com/maps/place/Lou+Mitchell's/data=!4m2!3m1!1s0x880e2cc19f7a7309:0x313c4c01a977c832,,
Golden Apple Grill & Breakfast House,,https://www.google.com/maps/place/Golden+Apple+Grill+%26+Breakfast+House/data=!4m2!3m1!1s0x880fd2560684138f:0xe2b4ab2a38773e06,,
Richard's Bar,,https://www.google.com/maps/place/Richard's+Bar/data=!4m2!3m1!1s0x880e2ccdde7f43b3:0xf899c44f281c3020,,
Möge Tee,,https://www.google.com/maps/place/M%C3%B6ge+Tee/data=!4m2!3m1!1s0x47a8511f34ae88d5:0x62dcfbb1ec541a01,,
Tori-Katsu Berlin,,https://www.google.com/maps/place/Tori-Katsu+Berlin/data=!4m2!3m1!1s0x47a8504857ec10b1:0x1f99058f5d4e957f,,
Costa Pacifico,,https://www.google.com/maps/place/Costa+Pacifico/data=!4m2!3m1!1s0x12a4a2fc5fdea147:0x7d0be869a71798cc,,
Getaway,,https://www.google.com/maps/place/Getaway/data=!4m2!3m1!1s0x89c2596b73cd0c1d:0x88f8012d8ba0f8fa,,
Pings,,https://www.google.com/maps/place/Pings/data=!4m2!3m1!1s0x89c25a26ee9fa003:0x624677e40933aa86,,
UUU,,https://www.google.com/maps/place/UUU/data=!4m2!3m1!1s0x47a851c8f736c9fd:0x121a4dcb74cee48b,,
SOFI,,https://www.google.com/maps/place/SOFI/data=!4m2!3m1!1s0x47a8514532b4d059:0x9ac8602e76a01b3c,,
