Title,Note,URL,Tags,Comment
,,,,
Big Bud Press Highland Park,,https://www.google.com/maps/place/Big+Bud+Press+Highland+Park/data=!4m2!3m1!1s0x80c2c1b3364ded1b:0xea491ae0050bf9c,,
Coco's Tacos,,https://www.google.com/maps/place/Coco's+Tacos/data=!4m2!3m1!1s0x80c2b5b0ca86be25:0x24744ca8219f17e8,,
Glossier LA,,https://www.google.com/maps/place/Glossier+LA/data=!4m2!3m1!1s0x80c2bfa75ac0cf65:0xffa78c7c896c2d22,,
Cold Stone Creamery,,https://www.google.com/maps/place/Cold+Stone+Creamery/data=!4m2!3m1!1s0x80c2b4f9341663d9:0xbab12599a4bb494a,,
Ulta Beauty,,https://www.google.com/maps/place/Ulta+Beauty/data=!4m2!3m1!1s0x80c2b4fb6544a763:0xc76cdc0d06e36afc,,
Cracker Barrel Old Country Store,,https://www.google.com/maps/place/Cracker+Barrel+Old+Country+Store/data=!4m2!3m1!1s0x80c2b50b94adbf69:0xa4cfe02357987bc1,,
Total Wine & More,,https://www.google.com/maps/place/Total+Wine+%26+More/data=!4m2!3m1!1s0x80c2b4fb659d58b7:0x6be0e5498b3e9fcf,,
Target,,https://www.google.com/maps/place/Target/data=!4m2!3m1!1s0x80c2b4fa7413f767:0xf884c318a40bb7ec,,
Walmart Neighborhood Market,,https://www.google.com/maps/place/Walmart+Neighborhood+Market/data=!4m2!3m1!1s0x80c2b43be0dbb991:0x4500547e27e08cfd,,
Chick-fil-A,,https://www.google.com/maps/place/Chick-fil-A/data=!4m2!3m1!1s0x80c2b5413262e65b:0x4bc352bff388e0e5,,
Del Taco,,https://www.google.com/maps/place/Del+Taco/data=!4m2!3m1!1s0x80c2b50a78a6106f:0x1f2af37abe05de06,,
Taco Bell,,https://www.google.com/maps/place/Taco+Bell/data=!4m2!3m1!1s0x80c2b50a507fa531:0x39817dca1f12a9e9,,
The UPS Store,,https://www.google.com/maps/place/The+UPS+Store/data=!4m2!3m1!1s0x80c2b56e845a36ad:0x8620f9357665ec1f,,
