Title,Note,URL,Tags,Comment
,,,,
Brasserie PROKA,,https://www.google.com/maps/place/Brasserie+PROKA/data=!4m2!3m1!1s0x13549fd888e50605:0x1ba5348372b0ba75,,
Railway Station Pristina,This is a club,https://www.google.com/maps/place/Railway+Station+Pristina/data=!4m2!3m1!1s0x13549efa8fdba86b:0x8714df32b0376e26,,
Marcus Coffee Shop,,https://www.google.com/maps/place/Marcus+Coffee+Shop/data=!4m2!3m1!1s0x13549edfef1ea2df:0x85c72a24614a7f35,,
Te Halimi,,https://www.google.com/maps/place/Te+Halimi/data=!4m2!3m1!1s0x13549d68de378c65:0x92606c70e13480e9,,
Varrezat e Dëshmorëve,,https://www.google.com/maps/place/Varrezat+e+D%C3%ABshmor%C3%ABve/data=!4m2!3m1!1s0x13549ed991fb79d5:0xba6eb69eb9d29491,,
Priview Bar,,https://www.google.com/maps/place/Priview+Bar/data=!4m2!3m1!1s0x13549e57e3cade15:0xc72231e7a2d859dd,,
Comandante Marcos,,https://www.google.com/maps/place/Comandante+Marcos/data=!4m2!3m1!1s0x13549f1db39960d9:0x852731be453f8b0f,,
Liburnia,,https://www.google.com/maps/place/Liburnia/data=!4m2!3m1!1s0x13549f1fbbb44eb7:0x23dd60dbf008ff68,,
Klubi 《M》Club,,https://www.google.com/maps/place/Klubi+%E3%80%8AM%E3%80%8BClub/data=!4m2!3m1!1s0x13549f21425bf1ef:0x3233ac81974c930d,,
Restaurant RINGS,,https://www.google.com/maps/place/Restaurant+RINGS/data=!4m2!3m1!1s0x0:0x438fcef5bc62ed67,,
"The National Library of Kosovo ""Pjetër Bogdani""",,https://www.google.com/maps/place/The+National+Library+of+Kosovo+%22Pjet%C3%ABr+Bogdani%22/data=!4m2!3m1!1s0x13549ee64ba4ee7b:0x11827a2c1235c1dd,,
Annex,,https://www.google.com/maps/place/Annex/data=!4m2!3m1!1s0x13549ee5a1abd91f:0xab4cb6bd22c3d552,,
green & protein,,https://www.google.com/maps/place/green+%26+protein/data=!4m2!3m1!1s0x13549ee16b5206a1:0x4412239501aa4946,,
Tingell Tangell,,https://www.google.com/maps/place/Tingell+Tangell/data=!4m2!3m1!1s0x13549ee14ee6e8a5:0xb177900ee19b4d84,,
Maroon Pub,,https://www.google.com/maps/place/Maroon+Pub/data=!4m2!3m1!1s0x13549ee1a91772e1:0x23a808e9472d38c5,,
Tartine,,https://www.google.com/maps/place/Tartine/data=!4m2!3m1!1s0x13549ee101803e33:0x8253163cae3aab3e,,
Extreme Grill,,https://www.google.com/maps/place/Extreme+Grill/data=!4m2!3m1!1s0x13549ee5439a64f5:0x63ab9f0bbc6a1ea4,,
Modern Apartment in the Center of Pristina,,https://www.google.com/maps/place/Modern+Apartment+in+the+Center+of+Pristina/data=!4m2!3m1!1s0x13549f69d4705675:0xaf1033f3a4ba8381,,
"Furra "" MONI """,,https://www.google.com/maps/place/Furra+%22+MONI+%22/data=!4m2!3m1!1s0x13549f1f02af3d1f:0xdb7d665e137d8c38,,
Ultra,,https://www.google.com/maps/place/Ultra/data=!4m2!3m1!1s0x13549ee0d32dca97:0x7941dd7223a5cfe1,,
Pozitiv Bar,,https://www.google.com/maps/place/Pozitiv+Bar/data=!4m2!3m1!1s0x13549ecf05b54b63:0x3bf64560cad70da9,,
Papirun,,https://www.google.com/maps/place/Papirun/data=!4m2!3m1!1s0x13549ee685d7c721:0xff91baa797df481e,,
Renaissance,,https://www.google.com/maps/place/Renaissance/data=!4m2!3m1!1s0x13549fb22ffdd41f:0x98c3b25b75c8c9a4,,
Statue of Bill Clinton,,https://www.google.com/maps/place/Statue+of+Bill+Clinton/data=!4m2!3m1!1s0x13549f069911e159:0xf2369798b9ee240,,
Caffe Papillon,,https://www.google.com/maps/place/Caffe+Papillon/data=!4m2!3m1!1s0x13549ee60c38464f:0x584cd753cecc8c7,,
NEWBORN,,https://www.google.com/maps/place/NEWBORN/data=!4m2!3m1!1s0x1354f2cbab67d493:0x5c97e5834932545a,,
Taverna Baron,,https://www.google.com/maps/place/Taverna+Baron/data=!4m2!3m1!1s0x13549f5f4514b105:0x3eb0513c089becfa,,
