Title,Note,URL,Tags,Comment
,,,,
Paint!,,https://www.google.com/maps/place/Paint!/data=!4m2!3m1!1s0x47a8517436f3d769:0x993b0875d963c9b9,,
ENDAYZ - Streetwear and more,,https://www.google.com/maps/place/ENDAYZ+-+Streetwear+and+more/data=!4m2!3m1!1s0x47a84e5c0aa6242b:0x8c9865c55a20bfc7,,
Effy Nails,,https://www.google.com/maps/place/Effy+Nails/data=!4m2!3m1!1s0x47a84fcae06800ff:0x6c6368078327d54b,,
Unfrämed Berlin,,https://www.google.com/maps/place/Unfr%C3%A4med+Berlin/data=!4m2!3m1!1s0x47a84f066341debb:0x387476dca1b03621,,
Euphoria Studio,,https://www.google.com/maps/place/Euphoria+Studio/data=!4m2!3m1!1s0x47a84fc7b8982411:0x26aaa757e7cf9d62,,
Thams Does Claws - Queer Private Beauty ~ Nails ~ Art Studio 🏻‍,,https://www.google.com/maps/place/Thams+Does+Claws+-+Queer+Private+Beauty+~+Nails+~+Art+Studio+%F0%9F%8F%BB%E2%80%8D/data=!4m2!3m1!1s0x47a8517a0a7f65fd:0x3dbb6f2010750713,,
Studio 358 - Nails Berlin,,https://www.google.com/maps/place/Studio+358+-+Nails+Berlin/data=!4m2!3m1!1s0x47a851e41ba59285:0xd6d3d96c25c1c203,,
isla Berlin,,https://www.google.com/maps/place/isla+Berlin/data=!4m2!3m1!1s0x47a84e25a58a0d0b:0xc9fcc6ea5a69a500,,
by Fenna Lang,,https://www.google.com/maps/place/by+Fenna+Lang/data=!4m2!3m1!1s0x47a851d2e7a553e5:0x67b03b5a2e2c2a8b,,
Medusa Berlin,,https://www.google.com/maps/place/Medusa+Berlin/data=!4m2!3m1!1s0x47a85181e7e0d37f:0x8b9465aa98583fd,,
