Title,Note,URL,Tags,Comment
,,,,
Cuongs Creative Market,,https://www.google.com/maps/place/Cuongs+Creative+Market/data=!4m2!3m1!1s0x47a84f15fbae0eb7:0x6e8b87e77803bae6,,
FORMAT Warenwunderland,,https://www.google.com/maps/place/FORMAT+Warenwunderland/data=!4m2!3m1!1s0x47a853c39df8bdaf:0x7849bb3e7056c1ea,,
einraum.berlin,,https://www.google.com/maps/place/einraum.berlin/data=!4m2!3m1!1s0x47a84fb709517f2b:0x5aaa6a5431a76abe,,
The Amazing Crocodile Design Store,,https://www.google.com/maps/place/The+Amazing+Crocodile+Design+Store/data=!4m2!3m1!1s0x47a84e1d89f9516b:0x8fc63f9c70f1e8eb,,
Victoria met Albert,,https://www.google.com/maps/place/Victoria+met+Albert/data=!4m2!3m1!1s0x47a84dffb0d41f9d:0xeb972a636570459,,
Goldhahn und Sampson Prenzlauer Berg,,https://www.google.com/maps/place/Goldhahn+und+Sampson+Prenzlauer+Berg/data=!4m2!3m1!1s0x47a84dffcc6d75bf:0x41eed1dccb1508d1,,
Supalife Kiosk,,https://www.google.com/maps/place/Supalife+Kiosk/data=!4m2!3m1!1s0x47a85200689ded23:0x53f0399f622f657,,
kollwitz45,,https://www.google.com/maps/place/kollwitz45/data=!4m2!3m1!1s0x47a84e0242ed812b:0xe5fe2a7a70ae1f9d,,
Chili & Paprika - México/Latino Shop,,https://www.google.com/maps/place/Chili+%26+Paprika+-+M%C3%A9xico%2FLatino+Shop/data=!4m2!3m1!1s0x47a84bf47c5ce981:0x80be69e75605ebab,,
Boesner,,https://www.google.com/maps/place/Boesner/data=!4m2!3m1!1s0x47a84e05c0034f13:0x43f396b2f07a978b,,
Patina Designklassiker - Berlin,,https://www.google.com/maps/place/Patina+Designklassiker+-+Berlin/data=!4m2!3m1!1s0x47a84f7e85468cd9:0x447008d4b21d101d,,
The Store X Berlin,,https://www.google.com/maps/place/The+Store+X+Berlin/data=!4m2!3m1!1s0x47a84e1c439e08bb:0x853b981aa9de358c,,
Very Ugly Place,,https://www.google.com/maps/place/Very+Ugly+Place/data=!4m2!3m1!1s0x47a84fe7941b39a9:0xfb0a82496198cff2,,
HAY BERLIN,,https://www.google.com/maps/place/HAY+BERLIN/data=!4m2!3m1!1s0x47a851e899657827:0x5040dee2ba55bf1a,,
Pro qm thematische Buchhandlung,,https://www.google.com/maps/place/Pro+qm+thematische+Buchhandlung/data=!4m2!3m1!1s0x47a84e1df710a651:0x7a82c7864e6211fb,,
Superconscious Store,,https://www.google.com/maps/place/Superconscious+Store/data=!4m2!3m1!1s0x47a851e4eaddf003:0x692bd733cd2b9923,,
soto store,,https://www.google.com/maps/place/soto+store/data=!4m2!3m1!1s0x47a851e1a8d2ca4f:0x6b564792a0f184cb,,
A.P.C.,,https://www.google.com/maps/place/A.P.C./data=!4m2!3m1!1s0x47a851e22de1d7b9:0x596d4833b05a544,,
"WHEADON BERLIN - Clean Beauty & Niche Perfumes - Tuesday & Wednesday 
Shopping by appointment !",,https://www.google.com/maps/place/WHEADON+BERLIN+-+Clean+Beauty+%26+Niche+Perfumes+-+Tuesday+%26+Wednesday+%0AShopping+by+appointment+!/data=!4m2!3m1!1s0x47a851e3d9633005:0xe640eb524e43d85c,,
Absinthdepot Berlin,,https://www.google.com/maps/place/Absinthdepot+Berlin/data=!4m2!3m1!1s0x47a851e10b7b732f:0x15be84b86e803f97,,
BUCHHOLZ BERLIN Design GmbH,,https://www.google.com/maps/place/BUCHHOLZ+BERLIN+Design+GmbH/data=!4m2!3m1!1s0x47a851e41ddd6ea3:0x352d8420cf800d5e,,
Schee,,https://www.google.com/maps/place/Schee/data=!4m2!3m1!1s0x47a851e3fc62fb25:0x1823ae966ae74953,,
do you read me?!,,https://www.google.com/maps/place/do+you+read+me%3F!/data=!4m2!3m1!1s0x47a851e67c73b82f:0x73770cfe6639fb18,,
Print 3000 risograph - Branczyk & Haberstumpf GbR,,https://www.google.com/maps/place/Print+3000+risograph+-+Branczyk+%26+Haberstumpf+GbR/data=!4m2!3m1!1s0x47a851eff5538789:0xdab5e380b924bf3b,,
Dussmann das KulturKaufhaus,,https://www.google.com/maps/place/Dussmann+das+KulturKaufhaus/data=!4m2!3m1!1s0x47a851c35ba236c1:0xfd5461000979ae29,,
Urban Industrial,,https://www.google.com/maps/place/Urban+Industrial/data=!4m2!3m1!1s0x47a84e3be97f5e01:0xa5c3e536f18d89b7,,
Marilyne Blais Studio,,https://www.google.com/maps/place/Marilyne+Blais+Studio/data=!4m2!3m1!1s0x47a84f0dd37c742b:0x5343efed42f068e9,,
Asien Mexico Supermarkt Berlin,,https://www.google.com/maps/place/Asien+Mexico+Supermarkt+Berlin/data=!4m2!3m1!1s0x47a84f9df75aec9f:0x29c28a97c2ee00fd,,
Bartmann.,,https://www.google.com/maps/place/Bartmann./data=!4m2!3m1!1s0x47a84fb7e184a787:0xe6f11b1b374c7aef,,
Designfliesen.de,,https://www.google.com/maps/place/Designfliesen.de/data=!4m2!3m1!1s0x47a85a857114f683:0xc0a4e117271efe7e,,
S T A T I O N - K Ü C H E,,https://www.google.com/maps/place/S+T+A+T+I+O+N+-+K+%C3%9C+C+H+E/data=!4m2!3m1!1s0x47a85a60501bf20b:0x1d8fccd32655e5a0,,
Furniture Garden,,https://www.google.com/maps/place/Furniture+Garden/data=!4m2!3m1!1s0x47a851065a753eff:0xb9d728d2833ec619,,
Hallesches Haus Store,,https://www.google.com/maps/place/Hallesches+Haus+Store/data=!4m2!3m1!1s0x47a8511cea79c1d5:0x9c396f6d792dfc9a,,
diptyque Boutique Charlottenburg,,https://www.google.com/maps/place/diptyque+Boutique+Charlottenburg/data=!4m2!3m1!1s0x47a850e523b29cdf:0x1b5ad97ab8e29490,,
Goldhahn und Sampson Charlottenburg,,https://www.google.com/maps/place/Goldhahn+und+Sampson+Charlottenburg/data=!4m2!3m1!1s0x47a850e7157b3db3:0x35203fa60492bc46,,
smow Berlin,,https://www.google.com/maps/place/smow+Berlin/data=!4m2!3m1!1s0x47a850c3759d44bf:0x7592a1bf8c73383b,,
FrischeParadies | Feinkostmarkt & Bistro Berlin Charlottenburg,,https://www.google.com/maps/place/FrischeParadies+%7C+Feinkostmarkt+%26+Bistro+Berlin+Charlottenburg/data=!4m2!3m1!1s0x47a851271a2886e1:0xd61a89a94578481f,,
Manufactum Warenhaus,,https://www.google.com/maps/place/Manufactum+Warenhaus/data=!4m2!3m1!1s0x47a8511d1785d5e3:0x855b9eb4374c0156,,
