Title,Note,URL,Tags,Comment
,,,,
Bar Americano,just came across it on the map looks so nice,https://www.google.com/maps/place/Bar+Americano/data=!4m2!3m1!1s0x89c25966dcad44b7:0x5cb022a289de6b19,,
Lei,,https://www.google.com/maps/place/Lei/data=!4m2!3m1!1s0x89c25b0033d4de5f:0x174933560f655420,,
schmuck.,,https://www.google.com/maps/place/schmuck./data=!4m2!3m1!1s0x89c2590077fd65ab:0x74ceb66d0bd25576,,
Elsa,,https://www.google.com/maps/place/Elsa/data=!4m2!3m1!1s0x89c2597888b617b5:0x68ba68f46cbe1623,,
Brooklyn Inn,,https://www.google.com/maps/place/Brooklyn+Inn/data=!4m2!3m1!1s0x89c25a521c30e7ef:0xbfa05bb4ea1cd61,,
Weather Up,,https://www.google.com/maps/place/Weather+Up/data=!4m2!3m1!1s0x89c25ba43706ef35:0xd8e771c5d98df9d2,,
Gold Star Beer Counter,,https://www.google.com/maps/place/Gold+Star+Beer+Counter/data=!4m2!3m1!1s0x89c25ba73e0e55a3:0x124f329dd4d73583,,
Connolly's Bar,,https://www.google.com/maps/place/Connolly's+Bar/data=!4m2!3m1!1s0x89c26847bfbac9db:0x48413efa7bb401f9,,
Evil Twin Brewing NYC,,https://www.google.com/maps/place/Evil+Twin+Brewing+NYC/data=!4m2!3m1!1s0x89c25d9e6c318cbf:0x759aff40d622bfd,,
Gottscheer Hall,Alex & Claire getting married here,https://www.google.com/maps/place/Gottscheer+Hall/data=!4m2!3m1!1s0x89c25e9dcc20ba41:0x732e0ea5c1289050,,
