City,Lat,Long,Google Maps Link,Name,Category,List,Closed
Amsterdam,52.3715747,4.873683499999999,https://www.google.com/maps/place/Sterk+Amsterdam/data=!4m2!3m1!1s0x47c609debf93373d:0x86afc9b565ea05ae,Sterk Amsterdam,shop,favorite,
Amsterdam,52.3709768,4.8437643999999995,https://www.google.com/maps/place/De+School/data=!4m2!3m1!1s0x47c5e26a9269dcc7:0x7adfeb615afdf893,De School,cafe,favorite,
Amsterdam,52.3738276,4.8886278,https://www.google.com/maps/place/BREDA/data=!4m2!3m1!1s0x47c609c423b6fd47:0x3401e66d7be412da,BREDA,restaurant,want to go,
Amsterdam,52.3781997,4.900916299999999,https://www.google.com/maps/place/Grand+Caf%C3%A9+Restaurant+1e+klas/data=!4m2!3m1!1s0x47c609b77537f62b:0x731bbfd02aa76fdb,Grand Café Restaurant 1e klas,restaurant,want to go,
Amsterdam,52.39113049999999,4.830871699999999,https://www.google.com/maps/place/Club+Raum/data=!4m2!3m1!1s0x47c5e3c1d085f7f9:0xd26cce357f397b6e,Club Raum,club,want to go,
Amsterdam,52.36642979999999,4.8966968,https://www.google.com/maps/place/Claire/data=!4m2!3m1!1s0x47c6099563858f47:0x7394edd11d1819da,Claire,club,want to go,
Adelaide,-34.92948380000001,138.5974186,https://www.google.com/maps/place/Adelaide+Central+Market/data=!4m2!3m1!1s0x6ab0cf274731479f:0xba1170ddb3cd0f43,Adelaide Central Market,flea market,want to go,
Adelaide,-34.9213541,138.610592,https://www.google.com/maps/place/Africola/data=!4m2!3m1!1s0x6ab0c932c8cc667b:0x6d1fe74f50199b83,Africola,restaurant,want to go,
Adelaide,-34.92544269999999,138.6025924,https://www.google.com/maps/place/Osteria+Oggi/data=!4m2!3m1!1s0x6ab0ced6e00570b3:0x4c95bb6876e6c6f2,Osteria Oggi,restaurant,want to go,
Amsterdam,52.3704787,4.8689598,https://www.google.com/maps/place/Karakter/data=!4m2!3m1!1s0x47c609df7f6a1853:0x4262434e1379e9d3,Karakter,bar,want to go,
Aerzen,52.0692162,9.251520200000002,https://www.google.com/maps/place/Schlosshotel+M%C3%BCnchhausen/data=!4m2!3m1!1s0x47ba8bce9c1e89fd:0x3b0eb028abb79766,Schlosshotel Münchhausen,hotel,want to go,
